question,options,answer
When was UEFA - Union of European Football Associations founded?,"['1930', '1904', '1954', '1863']",1954
What event took place on 2018-03-03?,"['First female referee in a major UEFA match', 'Football became an official Olympic sport', 'The International Football Association Board officially approves the use of VAR technology in football matches', 'First World Cup']",The International Football Association Board officially approves the use of VAR technology in football matches
Where was FIFA - Federation Internationale de Football Association founded?,"['Paris, France', 'Zürich, Switzerland', 'Berlin, Germany', 'Milan, Italy']","Paris, France"
What was the relevance of the event that occured on 1872-11-30?,"['The establishment of the Football Association', 'The first international football match', 'UEFA was founded', 'Football became an official Olympic sport']",The first international football match
In which year the first World Cup take place?,"['1920', '1930', '1940', '1950']",1930
Which country won the first World Cup?,"['England', 'France', 'Brazil', 'Uruguay']",Uruguay
What was unique about the 2019-08-14 event in UEFA?,"['First introduction of VAR', 'First female referee in a major UEFA competition match', 'Football became an official Olympic sport', 'The first international football match']",First female referee in a major UEFA competition match
When did Football become an official Olympic sport?,"['1908', '1920', '1932', '1944']",1908
Which association was established on 1863-10-26?,"['The Football Association', 'UEFA - Union of European Football Associations', 'FIFA - Federation Internationale de Football Association', 'The International Football Association Board']",The Football Association
Where does Football owe its origin?,"['England', 'France', 'China', 'Germany']",China
