name,description,startDate
Star Wars Episode IV: A New Hope,"The first Star Wars movie, chronologically the fourth in the franchise, is released.",1977-05-25
Star Wars Episode V: The Empire Strikes Back,"The second Star Wars movie is released, continuing the original trilogy.",1980-05-21
Star Wars Episode VI: Return of the Jedi,The third and final movie of the original trilogy is released.,1983-05-25
Star Wars Episode I: The Phantom Menace,"The first movie of the prequel trilogy is released, revealing the early years of the Star Wars universe.",1999-05-19
Star Wars Episode II: Attack of the Clones,"The second movie of the prequel trilogy is released, continuing the story of the Clone Wars.",2002-05-16
Star Wars Episode III: Revenge of the Sith,"The third and final movie of the prequel trilogy is released, revealing the fall of Anakin Skywalker and the rise of Darth Vader.",2005-05-19
Star Wars: The Clone Wars,"The animated movie and subsequent TV series expand on the events of the Clone Wars, filling in the gap between Episode II and III.",2008-08-10
Star Wars Episode VII: The Force Awakens,"The first movie of the sequel trilogy is released, introducing new characters and continuing the Star Wars saga.",2015-12-14
Star Wars Episode VIII: The Last Jedi,"The second movie of the sequel trilogy is released, further exploring the conflict between the Resistance and the First Order.",2017-12-09
Star Wars Episode IX: The Rise of Skywalker,"The final movie of the Skywalker saga is released, concluding the epic story of Star Wars.",2019-12-16
