name,description,startDate,endDate
Founding of Rio de Janeiro,The city of Rio de Janeiro was founded by the Portuguese.,1565-03-01,
Expansion of the Sugar Industry,The sugar industry in Rio de Janeiro expanded dramatically and the city became the largest exporter of sugar in the world.,1600,1650
Gold Discovery,Discovery of gold in the region led to Rio's growth as a port city.,1700,
Transfer of the Portuguese Court to Brazil,The Portuguese Court moved to Rio de Janeiro to avoid Napoleon's invasion of Portugal.,1808-03-07,
Independence of Brazil,Brazil gained independence from Portugal. Rio de Janeiro remained the capital.,1822-09-07,
Abolition of Slavery,"Slavery was abolished in Brazil, impacting the economy and society of Rio de Janeiro.",1888-05-13,
Federal District,"Rio de Janeiro became the Federal District, the capital of Brazil.",1891,
Revolt of the Navy,Revolt of the navy happened in Rio de Janeiro and became known as the Revolta da Armada.,1893-09-06,1894-03-13
Start of the Coffee Industry,"The coffee industry started to grow, making Rio de Janeiro one of Brazil's main export ports for coffee.",1900,
Transfer of the Capital to Brasília,The capital of Brazil was moved from Rio de Janeiro to Brasília.,1960-04-21,
Military Rule,"Brazil underwent a military dictatorship, which affected Rio de Janeiro significantly.",1964,1985
Democratic Return,"Brazil returned to democracy, changing the political climate in Rio de Janeiro.",1985,
Rio Conference,"The city hosted the United Nations Conference on Environment and Development, also known as the Rio Summit or Earth Summit.",1992-06-03,1992-06-14
Rio de Janeiro Massacre,"The Candelária Church massacre, where eight young people were killed, shocked the city and the world.",1993-07-23,
2007 Pan American Games,"The city hosted the 2007 Pan American Games, a major international sports event.",2007-07-13,2007-07-29
Rio World Cup,"Brazil hosted the FIFA World Cup, with Rio de Janeiro serving as a main venue.",2014-06-12,2014-07-13
Zika Virus Outbreak,The Zika virus outbreak began in Rio de Janeiro and spread throughout Brazil and other countries.,2015,
Rio Olympics,The city hosted the Summer Olympic Games.,2016-08-05,2016-08-21
Political Crisis,"A political crisis enveloped Brazil, leading to the impeachment of President Dilma Rousseff.",2016,
Marielle Franco Assassination,"Marielle Franco, a city councilor of Rio de Janeiro, was assassinated.",2018-03-14,
COVID-19 Pandemic,"The COVID-19 pandemic hit Brazil, severely affecting Rio de Janeiro.",2020,
