question,options,answer
When was the first human heart transplant performed?,"['1967-12-03', '1969', '1910', '1543']",1967-12-03
Who discovered and predicted the existence of Neptune?,"['Max Planck and Albert Einstein', 'Urbain Le Verrier and John Couch Adams', 'J.J. Thomson', 'Louis Daguerre and Joseph Nicéphore Niépce']",Urbain Le Verrier and John Couch Adams
When was the development of quantum mechanics?,"['1846', '1970', '1900', '1831']",1900
Who discovered the neutron?,"['James Chadwick', 'Wilhelm Conrad Roentgen', 'James Clerk Maxwell', 'Samuel Morse']",James Chadwick
When was the theory of plate tectonics proposed?,"['1996', '1903', '1960', '1769']",1960
When did Google's quantum computer achieve quantum supremacy?,"['2012', '1967-12-03', '2019', '1846']",2019
When was the discovery of cosmic microwave background radiation?,"['1951', '2003', '1869', '1965']",1965
When was the law of universal gravitation formulated?,"['1687', '1796', '1670', '1837']",1687
When was the invention of the airplane?,"['1945', '1865', '1903', '1953']",1903
When was the discovery of dark energy?,"['1895', '2012', '1865', '1769']",1998
