question,options,answer
What year did Napoleon begin his education at the Military School in Brienne-le-Château?,"['1769', '1784', '1789', '1793']",1779
What promotion did Napoleon receive after the Siege of Toulon?,"['Major', 'Lieutenant', 'Corporal', 'Brigadier General']",Brigadier General
Which territory did Napoleon sell to the United States of America in 1803?,"['Texas', 'California', 'Florida', 'Louisiana']",Louisiana
What caused Napoleon to divorce Josephine in 1810?,"['Unfaithfulness', 'Political reasons', 'Her inability to bear him an heir', 'Disagreements on ruling']",Her inability to bear him an heir
What was the purpose of Napoleon's expedition to Egypt in 1798-1799?,"['To expand his empire', ""To undermine Britain's access to India"", 'To secure trade routes', 'To establish a new capital']",To undermine Britain's access to India
"What role did Napoleon assume in 1799, making him the de facto leader of France?","['King of France', 'President of France', 'First Consul of France', 'Governor of France']",First Consul of France
What was the result of the Battle of Austerlitz in 1805?,"['It ended in a stalemate', 'Napoleon was defeated', 'Napoleon defeated a Russo-Austrian army', 'The battle never took place']",Napoleon defeated a Russo-Austrian army
"Who did Napoleon marry in 1810, ensuring a powerful alliance and an heir to his empire?","['Marie Antoinette', 'Lady Oscar', 'Marie Louise', 'Marie Curie']",Marie Louise
"What was the name of the coup orchestrated by Napoleon in 1799, effectively ending the French Revolution?","['Coup of July Revolution', 'Coup of 18 Brumaire', 'Coup of Thermidor', 'Coup of Vendémiaire']",Coup of 18 Brumaire
Which campaign conducted by Napoleon earned him fame and a reputation as a military genius?,"['The American Campaign', 'The Russian Campaign', 'The Italian Campaign', 'The Egyptian Campaign']",The Italian Campaign
