question,options,answer
"During which time period did fencing experience advancements in materials, design, and safety features?","['476-1453', '1939-1945', '1990-Present', '2000-Present']",1990-Present
When was fencing included as a sport in the modern Olympic Games?,"['476-1453', '1939-1945', '1896-Present', '2000-Present']",1896-Present
In which time period was electric scoring equipment introduced in fencing?,"['476-1453', '1939-1945', '1924-Present', '2000-Present']",1924-Present
When was fencing for athletes with disabilities included in the Paralympic Games?,"['476-1453', '1939-1945', '1960-Present', '2000-Present']",1960-Present
During which time period were national and international fencing federations established?,"['476-1453', '1939-1945', '1913-Present', '2000-Present']",1913-Present
When was the sabre introduced as a new weapon in the Olympic fencing program?,"['476-1453', '1939-1945', '1988-Present', '2000-Present']",1988-Present
During which time period did fencing techniques experience modernization?,"['476-1453', '1939-1945', '1960-Present', '2000-Present']",1960-Present
When did the rapier become popular and lead to the development of new fencing techniques?,"['1453-1600', '1939-1945', '1960-Present', '2000-Present']",1453-1600
During which time period did certain countries emerge as dominant forces in international fencing?,"['476-1453', '1939-1945', '2000-2100', '2000-Present']",2000-2100
"When did women's fencing gain popularity and recognition, leading to the inclusion of women's events in major competitions?","['476-1453', '1939-1945', '1969-Present', '2000-Present']",1969-Present
