question,options,answer
In which city was Henry VIII born?,"['York', 'Greenwich', 'Windsor', 'Cambridge']",Greenwich
What event began in England in 1527?,"['Industrial Revolution', 'English Civil War', 'English Reformation', 'Victorian Era']",English Reformation
Who became the King of England after Henry VIII's death?,"['James I', 'Henry IX', 'William III', 'Edward VI']",Edward VI
Who was the third wife of Henry VIII?,"['Jane Seymour', 'Catherine of Aragon', 'Mary Tudor', 'Anne Boleyn']",Jane Seymour
Who was Henry VIII's only legitimate son?,"['William', 'Edward VI', 'Arthur', 'James']",Edward VI
When did Henry VIII marry Catherine of Aragon?,"['1505', '1507', '1509', '1511']",1509
Who was the first wife of Henry VIII?,"['Catherine of Aragon', 'Anne Boleyn', 'Jane Seymour', 'Mary Tudor']",Catherine of Aragon
When did Henry VIII become the heir apparent to the throne of England?,"['1502', '1503', '1501', '1500']",1502
What was the cause of Jane Seymour's death?,"['Poisoning', 'Childbirth complications', 'In Battle', 'Disease']",Childbirth complications
Which title was Henry granted in 1494?,"['Duke of Windsor', 'Duke of York', 'Duke of Cornwall', 'Duke of Lancaster']",Duke of York
