question,options,answer
Who forms the Rebel Alliance to oppose the Galactic Empire?,"['Senator Bail Organa', 'Luke Skywalker', 'Princess Leia Organa', 'Han Solo']",Princess Leia Organa
In which movie does the Rebellion discover the plans for the Death Star?,"['The Rise of the Rebellion', 'A New Hope', 'Return of the Jedi', 'The Phantom Menace']",A New Hope
"Who confronts and redeems Darth Vader in ""Return of the Jedi""?","['Han Solo', 'Princess Leia Organa', 'Luke Skywalker', 'Lando Calrissian']",Luke Skywalker
What organization does the Rebel Alliance transform into?,"['The Empire', 'The Resistance', 'The New Republic', 'The First Order']",The New Republic
Which movie introduces the First Order and Kylo Ren?,"['The Force Awakens', 'Attack of the Clones', 'Revenge of the Sith', 'The Empire Strikes Back']",The Force Awakens
"Who betrays the Jedi Order in ""Revenge of the Sith""?","['Luke Skywalker', 'Darth Vader', 'Obi-Wan Kenobi', 'Count Dooku']",Darth Vader
What leads to the invasion of Naboo?,"['A trade dispute', 'A rebellion', 'A Sith plot', 'A diplomatic incident']",A trade dispute
"In ""The Mandalorian"", who does the title character form a bond with?","['Darth Maul', 'The Child', 'Luke Skywalker', 'General Leia Organa']",The Child
Which movie features the relentless assault of the Resistance by the First Order?,"['The Last Jedi', 'Return of the Jedi', 'The Empire Strikes Back', 'The Clone Wars']",The Last Jedi
"Who does Rey confront in ""The Rise of Skywalker""?","['Emperor Palpatine', 'Kylo Ren', 'Darth Vader', 'Luke Skywalker']",Emperor Palpatine
"What shocking revelation is made in ""The Empire Strikes Back""?","[""Vader being Luke's father"", 'Yoda being a Jedi Master', 'Han Solo being a spy', 'Leia being a Jedi']",Vader being Luke's father
