name,description,startDate,endDate
First public movie screening,The Lumière brothers hold the first public screening of a film in Paris.,1895-12-28,
Birth of Bollywood,"The Indian film industry, also known as Bollywood, is established.",1913,
Birth of Hollywood,"The Hollywood film industry is established in Los Angeles, California.",1910,
The Jazz Singer,"The first feature-length motion picture with synchronized dialogue sequences, The Jazz Singer, is released.",1927,
Golden Age of Hollywood,"The 1930s to 1950s are considered the Golden Age of Hollywood, with the production of numerous classic films.",1930,1950
Citizen Kane,"Citizen Kane, often regarded as one of the greatest films ever made, is released.",1941,
Birth of New Hollywood,"A new era in American filmmaking begins, known as the New Hollywood.",1967,
First Star Wars film,"The first Star Wars film, Star Wars Episode IV: A New Hope, is released to critical and commercial success.",1977,
Birth of Pixar Animation Studios,"Pixar Animation Studios is founded, paving the way for computer-animated films.",1986,
Jurassic Park,Jurassic Park revolutionizes visual effects in film with its realistic portrayal of dinosaurs.,1993,
The Lord of the Rings trilogy,"The Lord of the Rings film trilogy, based on J.R.R. Tolkien's novel, becomes a critical and commercial success.",2001,2003
Marvel Cinematic Universe,"The Marvel Cinematic Universe begins with the release of Iron Man, kickstarting a series of interconnected superhero films.",2008,
Avatar,"Avatar, directed by James Cameron, becomes the highest-grossing film of all time upon its release.",2009,
Inception,"Inception, directed by Christopher Nolan, explores the concept of shared dreaming and becomes a critical and commercial success.",2010,
The Hunger Games,"The film adaptation of The Hunger Games, based on the popular book series, sparks a successful film franchise.",2012,
Frozen,"Frozen, a Disney animated film, becomes a global phenomenon and the highest-grossing animated film at the time of its release.",2013,
La La Land,"La La Land, a modern musical film, receives critical acclaim and wins multiple Academy Awards.",2016,
Black Panther,"Black Panther, a superhero film with a predominantly Black cast, becomes a cultural phenomenon and a major box office success.",2018,
Parasite,"Parasite, a South Korean film directed by Bong Joon-ho, wins the Palme d'Or at the Cannes Film Festival and Best Picture at the Academy Awards.",2019,
COVID-19 Impact,The COVID-19 pandemic disrupts film production and leads to the closure of movie theaters worldwide.,2020,
