name,description,startDate,endDate
Discovery of Fire,"Humans learn to control fire for warmth, cooking, and protection.",1000000 BCE,9000 BCE
Invention of Wheel,"The wheel is invented, revolutionizing transportation and enabling the development of vehicles.",3500 BCE,
Development of Iron Smelting,"Iron smelting is invented, leading to significant advancements in tools, weapons, and infrastructure.",1800 BCE,
Heliocentric Model of the Solar System,"Copernicus proposes that the Earth and other planets revolve around the Sun, challenging the geocentric model.",1543,
Law of Universal Gravitation,"Isaac Newton formulates the law of universal gravitation, explaining the motion of celestial bodies.",1687,
Invention of the Steam Engine,"James Watt invents the improved steam engine, powering the Industrial Revolution.",1769,
Theory of Evolution,"Charles Darwin proposes the theory of evolution by natural selection, explaining the origin of species.",1859,
Discovery of Penicillin,"Alexander Fleming accidentally discovers the antibiotic properties of Penicillin, revolutionizing medicine.",1928,
Invention of the Computer,"The first electronic programmable computer, the ENIAC, is completed.",1945,
Moon Landing,NASA's Apollo 11 mission successfully lands humans on the Moon.,1969,
Decoding of the Human Genome,The Human Genome Project completes the sequencing of the entire human genome.,2003,
Discovery of Gravitational Waves,"Scientists detect gravitational waves, confirming a major prediction of Albert Einstein's theory of general relativity.",2015,
COVID-19 Pandemic,The world experiences a global pandemic caused by the novel coronavirus SARS-CoV-2.,2019,
Quantum Supremacy,"Google's quantum computer achieves quantum supremacy, performing a calculation beyond the capabilities of classical computers.",2019,
Creation of CRISPR-Cas9,"Scientists develop the revolutionary gene-editing tool CRISPR-Cas9, allowing precise modifications to DNA.",2012,
Discovery of Dark Energy,"Observations indicate the existence of dark energy, a mysterious force accelerating the expansion of the universe.",1998,
Development of Vaccines,"Edward Jenner introduces the smallpox vaccine, paving the way for the development of vaccines against various diseases.",1796,
First Transistor,"The first working transistor, a key component of modern electronics, is invented.",1947,
Discovery of X-Rays,"Wilhelm Conrad Roentgen discovers X-rays, revolutionizing medical imaging.",1895,
Theory of General Relativity,"Albert Einstein presents his theory of general relativity, describing gravity as the curvature of spacetime.",1915,
Discovery of Penicillin's Antibacterial Properties,Alexander Fleming observes that Penicillin has antibacterial properties.,1928,
First Atomic Bomb,The Manhattan Project successfully tests the first atomic bomb during World War II.,1945,
Development of DNA Structure,"James Watson and Francis Crick propose the double helix structure of DNA, unlocking the secrets of genetic inheritance.",1953,
Discovery of Relativity,"Albert Einstein publishes his theory of special relativity, revolutionizing our understanding of space and time.",1905,
Invention of the Telegraph,"Samuel Morse invents the telegraph, enabling long-distance communication using electrical signals.",1837,
Discovery of Nuclear Fusion,"Scientists achieve controlled nuclear fusion, a potential source of unlimited clean energy.",1951,
Discovery of Antibiotics,Alexander Fleming discovers the antibiotic properties of Penicillin.,1928,
Development of the Periodic Table,"Dmitri Mendeleev develops the periodic table, organizing elements based on their properties.",1869,
Discovery of Neptune,Urbain Le Verrier and John Couch Adams independently predict and discover the planet Neptune.,1846,
Invention of Photography,Louis Daguerre and Joseph Nicéphore Niépce invent practical processes for capturing and preserving images.,1839,
Discovery of Radioactivity,"Henri Becquerel discovers radioactivity in uranium, leading to groundbreaking research on atomic structure.",1896,
Invention of the Light Bulb,"Thomas Edison invents a practical incandescent light bulb, revolutionizing indoor lighting.",1879,
Development of Quantum Mechanics,"Max Planck and Albert Einstein contribute to the development of quantum mechanics, providing a new understanding of the behavior of atoms and subatomic particles.",1900s,
Discovery of Electromagnetic Waves,James Clerk Maxwell predicts and Heinrich Hertz confirms the existence of electromagnetic waves.,1864,
Invention of the Printing Press,"Johannes Gutenberg invents the printing press, revolutionizing the dissemination of knowledge and the spread of information.",1440,
Invention of the Telephone,"Alexander Graham Bell invents the telephone, facilitating long-distance communication through voice transmission.",1876,
Discovery of Cosmic Microwave Background,"Scientists discover the cosmic microwave background radiation, providing evidence for the Big Bang theory.",1965,
First Human Heart Transplant,Dr. Christiaan Barnard performs the first successful human heart transplant.,1967-12-03,
Discovery of DNA,"James Watson and Francis Crick discover the structure of DNA, the molecule carrying genetic information.",1953,
Discovery of Electromagnetic Induction,"Michael Faraday discovers the principle of electromagnetic induction, leading to the development of generators and electric motors.",1831,
Invention of the Microscope,"Antonie van Leeuwenhoek invents the microscope, opening up a new world of microscopic organisms and cells.",1670,
Discovery of Neptune's Moon Triton,"William Lassell discovers Neptune's largest moon, Triton.",1846,
Invention of the Radio,"Guglielmo Marconi invents the radio, enabling wireless communication over long distances.",1895,
Discovery of Genetics,Gregor Mendel's experiments with pea plants lay the foundation for the science of genetics.,1865,
Discovery of Neutron,"James Chadwick discovers the neutron, a subatomic particle with no electrical charge.",1932,
Invention of the Airplane,"The Wright brothers, Orville and Wilbur, invent and fly the world's first successful airplane.",1903,
Theory of Special Relativity,"Albert Einstein presents his theory of special relativity, introducing the concept of spacetime and challenging Newtonian physics.",1905,
Invention of the Transistor,"William Shockley, John Bardeen, and Walter Brattain invent the transistor, starting the electronic revolution.",1947,
Discovery of the Electron,"J.J. Thomson discovers the electron, a fundamental subatomic particle.",1897,
First Cloning of a Mammal,Dolly the sheep becomes the first mammal to be cloned from an adult somatic cell.,1996,
Discovery of the Higgs Boson,"Scientists at CERN announce the discovery of the Higgs boson, confirming the existence of the Higgs field and explaining the origin of mass.",2012,
Development of the Theory of Plate Tectonics,"Scientists propose the theory of plate tectonics, explaining the movement of Earth's lithospheric plates and the formation of continents and ocean basins.",1960s,
