name,description,startDate,endDate
Ancient Civilizations,Peru was home to various ancient civilizations such as the Norte Chico civilization and the Moche civilization.,3000 BC,800 AD
Inca Empire,"The Inca Empire, known as Tawantinsuyu, was established and became the largest empire in pre-Columbian America.",1438 AD,1533 AD
Spanish Conquest,"Spanish conquistadors, led by Francisco Pizarro, conquered the Inca Empire, marking the beginning of Spanish colonial rule.",1533 AD,1824 AD
Viceroyalty of Peru,"Peru became part of the Viceroyalty of Peru, a colonial administrative district of the Spanish Empire.",1542 AD,1824 AD
Peruvian Independence,Peru gained independence from Spain and became a republic under the leadership of Jose de la Riva-Agüero.,1821 AD,
Peruvian-Bolivian Confederation,Peru and Bolivia formed a confederation under the leadership of Andrés de Santa Cruz.,1836 AD,1839 AD
Guano Era,"Peru experienced an economic boom due to the export of guano, a valuable source of fertilizer.",1845 AD,1884 AD
War of the Pacific,"Peru fought against Chile and lost significant territory, including the provinces of Tarapacá and Arica.",1879 AD,1884 AD
Rubber Boom,The extraction of rubber in the Amazon region brought wealth and exploitation to Peru.,1880 AD,1914 AD
Peruvian Agrarian Reform,President Juan Velasco Alvarado implemented a series of agrarian reforms aimed at redistributing land to peasants.,1969 AD,1975 AD
Shining Path Insurgency,"The Maoist insurgency, led by the Shining Path, caused political and social turmoil in Peru.",1980 AD,2000 AD
Peruvian Economic Boom,Peru experienced a period of economic growth due to increased mining and foreign investment.,2000 AD,
Presidential Crisis,Peru faced a political crisis with multiple presidents being impeached or resigning.,2018 AD,2021 AD
COVID-19 Pandemic,"Peru, like many countries, faced the impacts of the COVID-19 pandemic.",2020 AD,
Recent Elections,Peru held presidential elections marking a changing political landscape in the country.,2021 AD,
