name,description,startDate,endDate
Pre-Columbian Era,"Indigenous civilizations such as the Muisca, Tayrona, and Quimbaya flourish in what is now Colombia.",-5000,1500
Spanish Conquest,"Spanish explorer Gonzalo Jiménez de Quesada founds the city of Santa Fe de Bogotá, marking the beginning of Spanish colonization.",1538,
Independence from Spain,"Colombia declares independence from Spain, along with other South American countries, led by Simón Bolívar.",1810,1819
Gran Colombia,"Gran Colombia is formed, including modern-day Colombia, Ecuador, Panama, and Venezuela, with Simón Bolívar as its president.",1819,1831
The Thousand Days' War,"A civil war breaks out between liberals and conservatives, resulting in significant political and social unrest in Colombia.",1899,1902
La Violencia,"A period of political violence and unrest begins in Colombia, lasting for approximately ten years.",1948,1958
Founding of FARC,The Revolutionary Armed Forces of Colombia (FARC) is founded as a communist guerrilla group advocating for land reform and social equality.,1964,
Peace Agreement with FARC,"After years of negotiations, the Colombian government signs a historic peace agreement with the FARC, marking the end of the armed conflict.",2016,
Presidential Election of Iván Duque,"Iván Duque is elected as the 60th President of Colombia, succeeding Juan Manuel Santos.",2018,
Current Era,"Colombia continues to work towards peace, economic growth, and social development.",2018,
