name,description,startDate,endDate
Foundation of Rio de Janeiro,"The city of Rio de Janeiro is founded by the Portuguese on March 1, 1565.",1565-03-01,
Invasion of French Privateers,"In September 1710, Rio de Janeiro is invaded and occupied by French privateers under the command of René Duguay-Trouin.",1710-09,
Transfer of Portuguese Royal Court,"In November 1807, the Portuguese royal court, led by Dom João VI, arrives in Rio de Janeiro due to the French invasion of Portugal.",1807-11,
Brazilian Independence,"On September 7, 1822, Brazil declares its independence from Portugal, marking a significant event in the history of Rio de Janeiro.",1822-09-07,
Construction of Christ the Redeemer,The construction of the iconic Christ the Redeemer statue on Corcovado Mountain begins in 1922 and is completed in 1931.,1922,1931
Olympic Games in Rio de Janeiro,"Rio de Janeiro hosts the Summer Olympic Games from August 5 to August 21, 2016, showcasing the city on a global stage.",2016-08-05,2016-08-21
Carnival in Rio de Janeiro,"The world-famous Carnival of Rio de Janeiro takes place annually, featuring vibrant parades, music, and dance.",Every February,
Foundation of the National Museum,"The National Museum of Brazil is founded in Rio de Janeiro on June 6, 1818, showcasing a vast collection of natural history and cultural artifacts.",1818-06-06,
Opening of Rio-Niteroi Bridge,"The Rio-Niteroi Bridge, a landmark in Rio de Janeiro, is inaugurated on March 4, 1974, connecting the cities of Rio de Janeiro and Niteroi.",1974-03-04,
Maracanã Stadium Inauguration,"On June 16, 1950, Maracanã Stadium in Rio de Janeiro is inaugurated as the largest stadium in the world at the time, hosting the FIFA World Cup final.",1950-06-16,
