question,options,answer
In what year was Sigourney Weaver born?,"['1949', '1961', '1972', '1975']",1949
Which was Sigourney Weaver's breakthrough role?,"['The Constant Wife', 'Annie Hall', 'Alien', 'Aliens']",Alien
For which movie was Sigourney Weaver nominated for an Academy Award for Best Actress in 1987?,"['Alien', 'Aliens', 'The Ice Storm', 'Avatar']",Aliens
When did Sigourney Weaver get married?,"['1961', '1984', '1990', '2014']",1984
"When was Sigourney Weaver nominated for a Tony Award for her role in ""Hurlyburly""?","['1985', '1984', '1998', '2009']",1985
In which TV series did Sigourney Weaver star in 2012?,"['Political Animals', 'Chappie', 'Unbelievable', 'Vanya and Sonia and Masha and Spike']",Political Animals
For which role did Sigourney Weaver receive a Golden Globe nomination in 1998?,"['Alien', 'Aliens', 'The Ice Storm', 'Avatar']",Alien: Resurrection
In which year did Sigourney Weaver become an advocate for women's rights?,"['1984', '1990', '2010', '2014']",2014
Which documentary did Sigourney Weaver narrate in 2016?,"['The Constant Wife', 'Annie Hall', 'The Eagle Huntress', 'Alien: Covenant']",The Eagle Huntress
In what year did Sigourney Weaver receive the Donostia Award at the San Sebastián International Film Festival?,"['2019', '2020', '2025', '2030']",2016
