question,options,answer
When did fencing originate?,"['-3000', '1200', '1700', '1763']",-3000
In which ancient civilization was fencing practiced?,"['Ancient Egypt', 'Ancient Greece', 'Mesopotamia', 'Medieval Europe']",Ancient Egypt
During which era did fencing become popular among officers and soldiers?,"['Ancient Egypt', 'Medieval Europe', 'Napoleonic Era', 'Modern Times']",Napoleonic Era
When was the first fencing treatise published?,"['1200', '1700', '1763', '1799']",1763
In which year was fencing included as a sport in the Olympic Games?,"['1700', '1763', '1896', '1924']",1896
When was women’s fencing introduced as an Olympic event?,"['1850', '1896', '1924', '1954']",1924
When was electric scoring equipment introduced in fencing?,"['1700', '1799', '1936', '1954']",1936
During which period were soldiers taught fencing for close combat and bayonet training?,"['Ancient Greece', 'Medieval Europe', 'World War II', 'Modern Times']",World War II
In which year was the International Fencing Federation established?,"['1700', '1799', '1913', '1954']",1913
Which fencing style gained popularity in the late 19th century?,"['Epee', 'Foil', 'Sabre', 'Rapier']",Foil
