question,options,answer
When did the Romans extensively expand their road network?,"['-146 to 117', '43 to 87', '476', '300 to 400']",-146 to 117
Who was known for their extravagant lifestyle and persecution of Christians during their rule of Rome?,"['Hadrian', 'Nero', 'Diocletian', 'Constantine the Great']",Nero
What is the 'Byzantine Iconoclasm'?,"[""The Rome's conquest of the Byzantine Empire"", 'The division of the Byzantine Empire', 'The destruction of religious icons in the Byzantine Empire', 'The artistic movement in the Byzantine Empire']",The destruction of religious icons in the Byzantine Empire
Who founded the city of Rome?,"['Romulus and Remus', 'Octavian', 'Constantine the Great', 'Marcus Aurelius']",Romulus and Remus
Who was crowned as the first Holy Roman Emperor by Pope Leo III?,"['Nero', 'Charlemagne', 'Constantine the Great', 'Hadrian']",Charlemagne
"When did a massive fire breaks out in Rome, causing widespread destruction?","['64', '79', '330', '527']",64
Which event is described as 'Rome engages in a conflict with Carthage over control of Sicily and the western Mediterranean'?,"['Third Punic War', 'First Punic War', 'Roman conquest of Greece', 'Roman law expanded to incorporate non-Roman citizens']",First Punic War
What is 'Pax Romana'?,"['The Roman Empire enters a period of decline', 'The construction of the Roman Colosseum', 'The Roman Empire experiences a period of relative peace and stability', 'The Roman Empire faces invasions from Germanic tribes']",The Roman Empire experiences a period of relative peace and stability
What happened in 476 in Rome's history?,"['The city of Rome is founded', 'The Western Roman Empire falls to various invasions and internal conflicts', 'Emperor Constantine the Great converts to Christianity', 'Emperor Trajan oversees a period of territorial expansion and major public building projects']",The Western Roman Empire falls to various invasions and internal conflicts
"What is characterized by grandeur and innovation, and becomes highly influential in subsequent centuries between 100 to 200?","['Roman law', 'Roman baths', 'Roman influence on art and architecture', 'Roman Colosseum']",Roman influence on art and architecture
