name,description,startDate,endDate
Foundation of Rio de Janeiro,"The city of Rio de Janeiro is officially founded as São Sebastião do Rio de Janeiro by the Portuguese on March 1, 1565.",1565-03-01,
Invasion of Rio de Janeiro,French corsairs led by Nicolas Durand de Villegaignon invade and capture Rio de Janeiro in 1555.,1555,1560
Transfer of the Portuguese Court,"The Portuguese royal family, led by Prince Regent John, flees Napoleon's invasion of Portugal and establishes the court in Rio de Janeiro, making it the capital of the Portuguese Empire from 1808 to 1821.",1808,1821
Independence of Brazil,"Brazil declares its independence from Portugal on September 7, 1822, with prince Pedro I becoming the first Emperor of Brazil.",1822-09-07,
Proclamation of the Republic,"The Brazilian monarchy is abolished and the republic is proclaimed in Rio de Janeiro on November 15, 1889.",1889-11-15,
Construction of Christ the Redeemer,The construction of the iconic Christ the Redeemer statue on the top of Corcovado mountain begins in 1922 and is completed in 1931.,1922,1931
Carnival becomes an Official Event,"The first official carnival parade, called 'Apoteose dos Malandros', takes place at the newly built Marquês de Sapucaí Sambadrome in 1984.",1984,
Rio de Janeiro awarded Olympic Games,"Rio de Janeiro is selected as the host city for the 2016 Summer Olympic Games on October 2, 2009.",2009-10-02,
Opening Ceremony of the Olympic Games,"The 2016 Summer Olympic Games open in Rio de Janeiro with a colorful and vibrant ceremony on August 5, 2016.",2016-08-05,
Covid-19 Pandemic,The outbreak of the Covid-19 pandemic affects Rio de Janeiro and leads to the cancellation or postponement of several events and restrictions on public gatherings.,2020,
