question,options,answer
In what year did the Rise of the Sith Empire take place?,"['-25000', '-3950', '-19', '-1000']",-3950
What was the significant result of the Mandalorian-Jedi War?,"['Formation of the Sith Empire', 'Fall of the Galactic Empire', 'A major shift in galactic history', 'Rise of Chancellor Palpatine']",A major shift in galactic history
Which event marked the end of the Clone Wars?,"['The Rise of the Galactic Empire', 'The Foundation of the New Republic', 'The Battle of Ruusan', 'The Rise of the Sith Empire']",The Rise of the Galactic Empire
The Battle of Exegol resulted in the fall of which entity?,"['The Galactic Republic', 'The Sith Empire', 'The Final Order', 'The Rebel Alliance']",The Final Order
What was the Galactic Republic's position in the Great Hyperspace War?,"['Neutrality', 'They were the attackers', 'They were under attack', 'Not involved']",They were under attack
The Battle of Ruusan marked the end of which war?,"['The Galactic Civil War', 'The Jedi-Sith War', 'The Mandalorian-Jedi War', 'The Great Hyperspace War']",The Jedi-Sith War
Who proclaimed himself Emperor following the end of the Clone Wars?,"['Darth Vader', 'Yoda', 'Chancellor Palpatine', 'Obi-Wan Kenobi']",Chancellor Palpatine
What did the Galactic Civil War lead to?,"['The rise of the Sith Empire', 'The formation of the Galactic Republic', 'The decline of the Galactic Empire', 'The Great Hyperspace War']",The decline of the Galactic Empire
Which entity was established after the Galactic Civil War?,"['The Final Order', 'The Sith Empire', 'The New Republic', 'The First Order']",The New Republic
Who fought in the Clone Wars?,"['The Sith Order and the Jedi Order', 'The Galactic Republic and the Sith Empire', 'The Galactic Republic and the Confederacy of Independent Systems', 'The Galactic Empire and the Rebel Alliance']",The Galactic Republic and the Confederacy of Independent Systems
