name,description,startDate
Invention of Basketball,"Basketball is invented by Dr. James Naismith in Springfield, Massachusetts.",1891
First Basketball Game,The first basketball game is played with nine players on each team.,1892-12-21
Formation of First Basketball League,The National Basketball League (NBL) is established as the first professional basketball league.,1937
First NBA Game,The first ever NBA game is played between the New York Knicks and the Toronto Huskies.,1946-11-01
Introduction of 24-Second Shot Clock,The 24-second shot clock is introduced to speed up the pace of the game.,1954
Wilt Chamberlain's 100-Point Game,Wilt Chamberlain scores a record-breaking 100 points in a single game.,1962-03-02
ABA-NBA Merger,The American Basketball Association (ABA) merges with the National Basketball Association (NBA).,1976
Magic Johnson vs. Larry Bird Rivalry,Magic Johnson and Larry Bird dominate the NBA and their rivalry becomes iconic.,1979
Michael Jordan's NBA Debut,Michael Jordan makes his NBA debut with the Chicago Bulls.,1984-10-26
Dream Team at the Barcelona Olympics,"The United States men's basketball team, featuring NBA superstars, wins gold at the Barcelona Olympics.",1992
Allen Iverson's Crossover,Allen Iverson's iconic crossover move becomes legendary.,1997
Kobe Bryant's 81-Point Game,"Kobe Bryant scores 81 points in a single game, the second-highest scoring performance in NBA history.",2006-01-22
LeBron James' Decision,"LeBron James announces his decision to join the Miami Heat in a televised special, sparking controversy.",2010-07-08
Golden State Warriors' Record-Breaking Season,The Golden State Warriors break the record for most wins in a regular season with 73 victories.,2015-10-27
Stephen Curry's Unanimous MVP Award,Stephen Curry becomes the first player in NBA history to win the MVP award unanimously.,2016
Kevin Durant Joins the Golden State Warriors,Kevin Durant shocks the basketball world by signing with the Golden State Warriors.,2016-07-04
Kawhi Leonard's Buzzer-Beater,Kawhi Leonard hits a miraculous buzzer-beating shot in Game 7 of the NBA Playoffs against the Philadelphia 76ers.,2019-05-12
Bubble Experiment in NBA,The NBA successfully creates a bubble environment to resume the season amidst the COVID-19 pandemic.,2020
NBA All-Star Game Tribute to Kobe Bryant,"The NBA All-Star Game pays tribute to Kobe Bryant, who tragically passed away earlier that year.",2020-02-16
Los Angeles Lakers Win NBA Championship,"The Los Angeles Lakers win their 17th NBA championship, tying the Boston Celtics for most championships in history.",2020-10-11
Formation of WNBA,The Women's National Basketball Association (WNBA) is established as the premier professional women's basketball league.,1996
Lisa Leslie Becomes First Woman to Dunk in WNBA,Lisa Leslie becomes the first woman to dunk in a WNBA game.,2002-07-30
Diana Taurasi Becomes WNBA All-Time Leading Scorer,Diana Taurasi surpasses Tina Thompson as the WNBA's all-time leading scorer.,2017-06-18
"Breanna Stewart Wins WNBA MVP, Finals MVP, and Olympic Gold","Breanna Stewart has a historic year, winning both the WNBA MVP and Finals MVP awards, as well as an Olympic gold medal.",2018
Sue Bird Becomes WNBA All-Time Assists Leader,Sue Bird surpasses Ticha Penicheiro as the WNBA's all-time assists leader.,2021-08-17
Basketball's Inclusion in the Olympics,Basketball is included as an official Olympic sport for the first time.,1936
United States Men's Basketball Team Loses in Olympic Finals,The United States men's basketball team suffers its first Olympic finals loss to the Soviet Union.,1972-09-10
