name,description,startDate,endDate
Rugby football is said to have been created,"Rugby football is said to have been created in 1823 when William Webb Ellis, a student at Rugby School in England, picked up the ball and ran with it during a game of soccer.",1823,
First rugby match,The first recorded rugby football match took place in 1843 between Rugby School and the town of Rugby.,1843,
Formation of the Rugby Football Union (RFU),The Rugby Football Union (RFU) was formed in 1871 as the governing body for rugby football in England.,1871,
Introduction of the first international rugby match,The first international rugby match took place in 1871 between England and Scotland.,1871,
Formation of the first rugby league,The first rugby league was formed in 1895 after the Northern Rugby Football Union (NRFU) broke away from the RFU due to disagreements over compensation for players.,1895,
Formation of the International Rugby Board (IRB),The International Rugby Board (now World Rugby) was formed in 1886 as the international governing body for rugby football.,1886,
Introduction of the Five Nations Championship,"The Five Nations Championship (now known as the Six Nations Championship) was introduced in 1883 as an annual rugby union competition between England, Ireland, Scotland, Wales, and later France.",1883,
Rugby included in the Olympic Games,"Rugby union was included in the Olympic Games in 1900 and 1908, before being removed and then reintroduced in 2016.",1900,1908
Formation of the New Zealand Rugby Football Union (NZRFU),The New Zealand Rugby Football Union (now New Zealand Rugby) was formed in 1892 as the governing body for rugby union in New Zealand.,1892,
Invention of the penalty kick,The penalty kick was officially introduced to rugby union in 1891 as a method of scoring points.,1891,
Introduction of the Rugby World Cup,"The first Rugby World Cup took place in 1987, hosted by New Zealand and Australia. The tournament is now held every four years.",1987,
Formation of the Australian Rugby Union (ARU),The Australian Rugby Union (now Rugby Australia) was formed in 1949 as the governing body for rugby union in Australia.,1949,
Formation of the South African Rugby Union (SARU),The South African Rugby Union (now known as SA Rugby) was formed in 1889 as the governing body for rugby union in South Africa.,1889,
Introduction of the Rugby Championship,"The Rugby Championship (formerly known as the Tri Nations) was introduced in 1996 as an annual rugby union competition between Australia, New Zealand, and South Africa.",1996,
Formation of the Irish Rugby Football Union (IRFU),The Irish Rugby Football Union (IRFU) was formed in 1879 as the governing body for rugby union in Ireland.,1879,
Introduction of rugby sevens,"Rugby sevens, a variant of rugby union with only seven players per team, was introduced in 1883.",1883,
Invention of the drop goal,"The drop goal, a method of scoring points by dropping the ball and kicking it as it bounces off the ground, was introduced to rugby union in 1886.",1886,
Formation of the Argentina Rugby Union (UAR),The Argentina Rugby Union (now known as the Argentine Rugby Union) was formed in 1899 as the governing body for rugby union in Argentina.,1899,
Introduction of rugby league in Australia,Rugby league was introduced in Australia in 1908 with the formation of the New South Wales Rugby League (NSWRL).,1908,
Formation of the World Rugby Sevens Series,"The World Rugby Sevens Series, a series of international rugby sevens tournaments, was formed in 1999.",1999,
Introduction of the British and Irish Lions,"The British and Irish Lions, a team made up of players from England, Ireland, Scotland, and Wales, played their first tour in 1888.",1888,
Introduction of the Women's Rugby World Cup,"The first Women's Rugby World Cup took place in 1991, hosted by Wales. The tournament is now held every four years.",1991,
