name,description,startDate,endDate
2022 New Year's Day,Celebration of the start of the new year.,2022-01-01,
Winter Olympics,"The XXIV Olympic Winter Games held in Beijing, China.",2022-02-04,2022-02-20
Valentine's Day,Celebration of love and affection.,2022-02-14,
Mardi Gras,Celebration held before the Christian season of Lent.,2022-02-15,
International Women's Day,Observance promoting women's rights and gender equality.,2022-03-08,
St. Patrick's Day,Celebration of Irish culture and heritage.,2022-03-17,
Spring Equinox,First day of spring in the Northern Hemisphere.,2022-03-20,
Easter Sunday,Christian holiday celebrating the resurrection of Jesus Christ.,2022-04-17,
Earth Day,Observance promoting environmental awareness.,2022-04-22,
Labour Day,International workers' holiday.,2022-05-01,
Cinco de Mayo,Celebration of Mexican culture and heritage.,2022-05-05,
Eurovision Song Contest,Annual international singing competition.,2022-05-10,2022-05-14
Memorial Day,Commemoration of military personnel who died in service.,2022-05-30,
World Environment Day,Observance promoting global environmental awareness and action.,2022-06-05,
Father's Day,Celebration of fathers and fatherhood.,2022-06-19,
Summer Solstice,Longest day of the year in the Northern Hemisphere.,2022-06-21,
UEFA European Championship Final,Final match of the UEFA European Championship.,2022-07-10,
Bastille Day,French national holiday commemorating the Storming of the Bastille.,2022-07-14,
Tokyo Paralympics,"Paralympic Games held in Tokyo, Japan.",2022-08-24,2022-09-05
International Day of Peace,Observance promoting peace and nonviolence.,2022-09-21,
Mid-Autumn Festival,Harvest festival celebrated in many East Asian countries.,2022-09-22,
Oktoberfest,"World's largest beer festival held in Munich, Germany.",2022-09-17,2022-10-03
World Mental Health Day,Observance raising awareness of mental health issues.,2022-10-10,
Halloween,Celebration popular in many countries on October 31st.,2022-10-31,
Day of the Dead,Mexican holiday honoring deceased loved ones.,2022-11-01,2022-11-02
Thanksgiving,American holiday of giving thanks for the blessings of the year.,2022-11-24,
Black Friday,Day of major discounts and shopping sales.,2022-11-25,
Human Rights Day,Observance promoting the importance of human rights worldwide.,2022-12-10,
Winter Solstice,Shortest day of the year in the Northern Hemisphere.,2022-12-21,
Christmas Eve,Day before the Christian holiday of Christmas.,2022-12-24,
Christmas,Christian holiday commemorating the birth of Jesus Christ.,2022-12-25,
Boxing Day,Traditional British holiday celebrated on the day after Christmas.,2022-12-26,
New Year's Eve,Celebration of the end of the current year.,2022-12-31,
2022 FIFA World Cup Final,Final match of the FIFA World Cup held in Qatar.,2022-12-18,
2022 Grammy Awards,Annual music awards ceremony.,2022-02-13,
2022 Academy Awards,Annual film awards ceremony.,2022-02-27,
2022 Wimbledon Championships,"Annual tennis tournament held in London, UK.",2022-06-27,2022-07-10
2022 Tour de France,Annual men's multiple stage bicycle race.,2022-07-02,2022-07-24
2022 Comic-Con International,"Annual fan convention for comic books, movies, and television.",2022-07-20,2022-07-24
2022 Oktoberfest,"World's largest beer festival held in Munich, Germany.",2022-09-17,2022-10-03
2022 Nobel Prize Award Ceremony,Annual awards ceremony for Nobel laureates in various categories.,2022-12-10,
2022 Time Person of the Year Announcement,Annual announcement of the Time Person of the Year.,2022-12-14,
2022 Summer Youth Olympics,"Youth Olympic Games held in Dakar, Senegal.",2022-10-20,2022-11-09
2022 Winter Youth Olympics,"Youth Olympic Games held in Gangwon Province, South Korea.",2022-01-19,2022-02-02
2022 FIFA World Cup,FIFA World Cup held in Qatar.,2022-11-21,2022-12-18
2022 Summer Paralympics,"Paralympic Games held in Melbourne, Australia.",2022-03-31,2022-04-09
2022 Winter Olympics Closing Ceremony,"Closing ceremony of the XXIV Olympic Winter Games in Beijing, China.",2022-02-20,
2022 Tokyo Auto Salon,Annual international automobile exhibition.,2022-01-14,2022-01-16
2022 International CES,Annual electronics and technology trade show.,2022-01-05,2022-01-08
2022 Tony Awards,Annual awards ceremony honoring excellence in Broadway theatre.,2022-06-12,
2022 MTV Video Music Awards,Annual music awards ceremony.,2022-08-28,
2022 Super Bowl,American football championship game.,2022-02-13,
2022 NBA Finals,Championship series of the National Basketball Association.,2022-06-02,2022-06-19
2022 World Series,Championship series of Major League Baseball.,2022-10-18,2022-10-26
