name,description,startDate,endDate
Ancient Mesopotamia,The earliest recorded evidence of clothing in history.,-3000,
Ancient Egypt,The development of advanced textile production techniques.,-3100,
Minoan Civilization,Early evidence of sewn garments and tailored clothing.,-2000,
Ancient Greece,"The introduction of the chiton, a loose garment worn by both men and women.",-800,
Ancient Rome,The toga becomes a key fashion item in Roman society.,-753,
Medieval Europe,The rise of fashion trends among the nobility.,500,
Renaissance,The development of sumptuary laws to regulate clothing based on social status.,1300,
Baroque Period,Extravagant and elaborate clothing styles dominate European fashion.,1600,
18th Century,The transition from elaborate Baroque fashion to simple and elegant Rococo styles.,1700,
Victorian Era,"The era of corsets, bustles, and hoop skirts.",1837,1901
Art Deco,The rise of modernist and geometric fashion designs.,1920,
Great Depression,The economic downturn leads to simpler and more affordable clothing styles.,1929,1939
World War II,Rationing and utility clothing become common during the war.,1939,1945
1950s,"The era of Poodle skirts, leather jackets, and Greaser fashion.",1950,1959
1960s,"The rise of counterculture fashion, including mini skirts and hippie styles.",1960,1969
1970s,The disco era sees bold and flamboyant fashion choices.,1970,1979
1980s,"The decade of power suits, shoulder pads, and neon colors.",1980,1989
1990s,"The era of grunge fashion, oversized clothing, and minimalism.",1990,1999
Early 2000s,"The rise of low-rise jeans, velour tracksuits, and popstar fashion.",2000,2009
Contemporary Fashion,The diversity and globalization of fashion trends in the modern era.,2010,
