name,description,startDate,endDate
ARPANET created,"ARPANET, the precursor to the internet, is created by the Advanced Research Projects Agency.",1969-10-29,1969-10-29
First email sent,Ray Tomlinson sends the first email using the @ symbol to separate the user from the host in the email address.,1971-11-01,1971-11-01
TCP/IP protocol introduced,"Vinton Cerf and Robert Kahn publish a paper introducing the Transmission Control Protocol (TCP) and Internet Protocol (IP), laying the foundations for the modern internet.",1974-11-01,1974-11-01
Domain Name System (DNS) created,"The Domain Name System is implemented, allowing the use of domain names instead of IP addresses for website addresses.",1983-01-01,1983-01-01
World Wide Web invented,"Tim Berners-Lee develops the World Wide Web, a system that allows the retrieval and navigation of information linked by hypertext.",1989-03-12,1989-03-12
First web browser released,"Tim Berners-Lee releases the first web browser, called WorldWideWeb.",1990-12-20,1990-12-20
First website goes live,"The world's first website, info.cern.ch, goes live.",1991-08-06,1991-08-06
Mosaic web browser released,"The Mosaic web browser is released, popularizing the graphical user interface (GUI) for the web.",1993-04-22,1993-04-22
Netscape Navigator released,"Netscape Navigator, one of the most popular web browsers of its time, is released.",1994-10-13,1994-10-13
Yahoo! founded,"Jerry Yang and David Filo create Yahoo!, one of the first widely-used search engines and web portals.",1994-03-01,1994-03-01
Amazon.com launched,"Jeff Bezos launches Amazon.com, an online marketplace for books.",1995-07-05,1995-07-05
eBay founded,"Pierre Omidyar establishes eBay, an online auction and shopping website.",1995-09-03,1995-09-03
Google founded,"Larry Page and Sergey Brin found Google, a search engine that revolutionizes internet search.",1998-09-04,1998-09-04
Napster launched,"Napster, a peer-to-peer file sharing service, is launched by Shawn Fanning and Sean Parker.",1999-06-01,1999-06-01
Wikipedia launched,"The collaborative online encyclopedia, Wikipedia, is launched by Jimmy Wales and Larry Sanger.",2001-01-15,2001-01-15
Facebook launched,"Mark Zuckerberg creates Facebook, a social networking site that becomes immensely popular worldwide.",2004-02-04,2004-02-04
YouTube launched,"Chad Hurley, Steve Chen, and Jawed Karim launch YouTube, a video-sharing platform that revolutionizes online video consumption.",2005-02-14,2005-02-14
Twitter launched,"Jack Dorsey, Biz Stone, and Evan Williams create Twitter, a microblogging platform that allows users to share short messages.",2006-03-21,2006-03-21
iPhone released,"Apple releases the first iPhone, revolutionizing the mobile internet and ushering in the smartphone era.",2007-06-29,2007-06-29
Android operating system released,"Google releases the Android operating system, providing an open-source platform for smartphones.",2008-09-23,2008-09-23
Instagram launched,"Kevin Systrom and Mike Krieger launch Instagram, a photo and video sharing social networking service.",2010-10-06,2010-10-06
WhatsApp launched,"Jan Koum and Brian Acton launch WhatsApp, a popular messaging app.",2009-01-01,2009-01-01
Snapchat launched,"Evan Spiegel, Bobby Murphy, and Reggie Brown launch Snapchat, an image and multimedia messaging app.",2011-09-01,2011-09-01
TikTok launched,"Zhang Yiming launches TikTok, a social networking app for creating and sharing short videos.",2016-09-15,2016-09-15
Bitcoin created,"Satoshi Nakamoto introduces Bitcoin, the first decentralized cryptocurrency.",2008-10-31,2008-10-31
Netflix expands to streaming,"Netflix transitions from a DVD rental service to a streaming platform, changing the way people consume movies and TV shows.",2007-01-01,2007-01-01
Cloud computing gains popularity,"Cloud computing becomes increasingly popular, allowing users to access and store data remotely.",2006-01-01,2006-01-01
Artificial Intelligence advancements,Advancements in Artificial Intelligence lead to breakthroughs in areas such as natural language processing and computer vision.,2010-01-01,2010-01-01
