name,description,startDate,endDate
Aegon's Conquest,"Aegon Targaryen and his sisters, Rhaenys and Visenya, conquer six of the seven Kingdoms of Westeros using their dragons.",1 BC,1 AC
Robert's Rebellion,Noble houses rebel against House Targaryen's rule after Rhaegar Targaryen abducts Lyanna Stark. The rebellion ends with Robert Baratheon as the new King on the Iron Throne.,282 AC,283 AC
Eddard Stark's Execution,"Eddard Stark, Lord of Winterfell, is executed in King's Landing after being accused of treason by Joffrey Baratheon.",298 AC,298 AC
Red Wedding,"Robb Stark, the King in the North, and many Stark bannermen are betrayed and massacred during a wedding at The Twins.",299 AC,299 AC
Battle of Blackwater,"Stannis Baratheon's military forces attack King's Landing in an attempt to claim the Iron Throne, but are defeated by the Lannisters.",299 AC,299 AC
Purple Wedding,"King Joffrey Baratheon is poisoned during his wedding feast, resulting in his death.",300 AC,300 AC
Battle of Castle Black,The Night's Watch defends the Wall against the wildling army led by Mance Rayder.,300 AC,300 AC
Purple Wedding Investigation,Tyrion Lannister is accused of poisoning King Joffrey Baratheon and put on trial.,301 AC,301 AC
Trial by Combat,"Oberyn Martell fights on behalf of Tyrion Lannister in a trial by combat, but is killed by Gregor Clegane.",301 AC,301 AC
Battle of Winterfell,"Jon Snow and the allied forces of the North and Vale retake Winterfell from House Bolton, restoring House Stark's control.",303 AC,303 AC
Loot Train Attack,"Daenerys Targaryen and her dragon, Drogon, ambush and destroy a Lannister army led by Jaime Lannister.",304 AC,304 AC
Battle of the Bastards,Jon Snow and Sansa Stark lead the forces of the North in a battle against Ramsay Bolton for control of Winterfell.,304 AC,304 AC
Boatsex,Jon Snow and Daenerys Targaryen engage in a passionate night of love aboard a boat headed towards the North.,304 AC,304 AC
The Great War,"The living, led by Jon Snow, Daenerys Targaryen, and their allies, face off against the Night King and his army of the dead in the Battle of Winterfell.",305 AC,305 AC
Burning of King's Landing,"Daenerys Targaryen, fueled by her anger and desire for power, burns the entire city of King's Landing, resulting in mass destruction and casualties.",305 AC,305 AC
The Council of Westeros,The surviving noble houses gather to discuss the future of the realm and elect a new ruler.,305 AC,305 AC
The King in the North,"Bran Stark is declared the new King in the North, ruling over an independent realm.",305 AC,305 AC
A Song of Ice and Fire,"Samwell Tarly writes a book chronicling the events of recent history, titled 'A Song of Ice and Fire'.",310 AC,
