name,description,startDate,endDate
Aegon's Conquest,Aegon the Conqueror invaded and successfully unified six of the Seven Kingdoms of Westeros under his banner.,-300,-298
The Dance of the Dragons,"A bloody civil war in the Targaryen Dynasty for the Iron Throne, between Rhaenyra and Aegon II for succession upon their father's death.",-130,-129
The Blackfyre Rebellion,"Bastard son Daemon Blackfyre disputes the succession of Daeron II, leading to a large scale war.",196,212
Robert's Rebellion,Robert Baratheon along with Lords Jon Arryn and Eddard Stark led a rebellion against House Targaryen.,282,283
Discovery of dragon eggs,Daenerys Targaryen receives three dragon eggs as a wedding gift.,298,
War of The Five Kings,"Following King Robert I's death, five men claim Kingship leading to a war.",298,300
The Red Wedding,"Robb Stark, his mother, and most of his bannermen are murdered at Edmure Tully's wedding.",299,
Resurrection of Jon Snow,"After being murdered by his own men, Jon Snow is resurrected by Melisandre.",300,
Battle of the Bastards,Jon Snow retakes Winterfell from Ramsay Bolton.,301,
The destruction of the Iron Throne,"Daenerys Targaryen is killed by Jon Snow, and the Iron Throne is melted by the dragon Drogon.",303,
