question,options,answer
What profound changes occurred during the Bolivian National Revolution?,"['Establishment of a new constitution', 'Granting Universal Suffrage', 'Bolivia became a Plurinational State', 'Bolivia lost access to the Pacific Ocean']",Granting Universal Suffrage
In which year did Bolivia become a Plurinational State?,"['2009', '1879', '1952', '1825']",2009
What was the War of the Pacific?,"['A struggle for the Gran Chaco region', 'A conflict where Bolivia lost its access to the Pacific Ocean', ""A war for Bolivia's independence from Spain"", 'A civil conflict over natural gas']",A conflict where Bolivia lost its access to the Pacific Ocean
What happened during Bolivia's Democratic Transition in 1982?,"['The election of the first indigenous president', 'The change from authoritarian military rule to democracy', 'The recognition of the rights of indigenous peoples', ""A successful coup d'etat""]",The change from authoritarian military rule to democracy
Who were the adversaries in the Chaco War?,"['Chile and the joint forces of Bolivia and Peru', 'Bolivia and Paraguay', 'Bolivia and Spain', 'Bolivia and the US']",Bolivia and Paraguay
When did Bolivia declare its independence?,"['1825', '1879', '1952', '2009']",1825
Who became the country's first indigenous president?,"['Evo Morales', 'Hernán Siles Zuazo', 'Hugo Banzer', 'None of the above']",Evo Morales
What is known about the Banzer Dictatorship?,"['Known for democratic reforms', 'Known for violation of human rights', 'It was a period of economic prosperity', 'Transition to a Plurinational State']",Known for violation of human rights
What sparked the Gas War?,"['Plans to export natural gas', ""Bolivia's independence from Spain"", 'Nationalization of tin mines', 'A fight over control of the Gran Chaco region']",Plans to export natural gas
What marked the transition to the Post-Evo Morales era?,"['The election of Evo Morales', ""Bolivia's independence from Spain"", ""Evo Morales' forced resignation and subsequent exile"", 'The establishment of the Plurinational State']",Evo Morales' forced resignation and subsequent exile
