events,description,startDate,endDate
Launch of Sputnik 1,"The Soviet Union successfully launches the first artificial satellite, Sputnik 1, into orbit around the Earth.",1957-10-04,
Formation of NASA,The National Aeronautics and Space Administration (NASA) is established in the United States to coordinate and conduct civilian space exploration activities.,1958-07-29,
First manned spaceflight,"Yuri Gagarin, a Soviet cosmonaut, becomes the first human to travel into space aboard Vostok 1, completing a single orbit around the Earth.",1961-04-12,
Mercury-Redstone 3 (Freedom 7) mission,"Alan Shepard, an American astronaut, becomes the first American to travel into space aboard the Mercury spacecraft, completing a suborbital flight.",1961-05-05,
First woman in space,"Valentina Tereshkova, a Soviet cosmonaut, becomes the first woman to travel into space aboard Vostok 6, orbiting the Earth 48 times.",1963-06-16,
Gemini 3 mission,"Gus Grissom and John Young become the first U.S. astronauts to fly aboard a multi-person spacecraft, Gemini 3, performing three orbits of the Earth.",1965-03-23,
Alexei Leonov's spacewalk,"Alexei Leonov, a Soviet cosmonaut, performs the first-ever spacewalk (extravehicular activity) lasting 12 minutes and 9 seconds.",1965-03-18,
Apollo 8 mission,"Apollo 8, a U.S. manned spacecraft, becomes the first manned mission to orbit the Moon and return safely to Earth.",1968-12-21,1968-12-27
Salyut 1 - First space station,"The Soviet Union launches Salyut 1, the world's first space station, paving the way for long-duration human space missions.",1971-04-19,
Apollo-Soyuz Test Project,"The Apollo-Soyuz Test Project marks the first international human spaceflight mission, with a U.S. Apollo spacecraft docking with a Soviet Soyuz spacecraft in Earth orbit.",1975-07-15,1975-07-24
Voyager program,"The Voyager program launches two spacecraft, Voyager 1 and Voyager 2, on a mission to study the outer Solar System and beyond.",1977-08-20,
Mir space station,"The Soviet Union launches Mir, a modular space station, which becomes the world's first consistently inhabited long-term research facility in space.",1986-02-20,
Challenger space shuttle disaster,"The U.S. space shuttle Challenger explodes shortly after launch, resulting in the loss of all seven crew members.",1986-01-28,
Hubble Space Telescope launch,"The Hubble Space Telescope, a space-based observatory, is launched by the Space Shuttle Discovery, revolutionizing astronomical observations.",1990-04-24,
Mars Pathfinder mission,"NASA's Mars Pathfinder mission successfully lands a robotic rover, Sojourner, on the surface of Mars, providing valuable data about the planet.",1997-07-04,
International Space Station begins assembly,"The first component of the International Space Station (ISS), Zarya, is launched into orbit, beginning the assembly of the largest human-made structure in space.",1998-11-20,
Spirit and Opportunity Mars rovers,"NASA's twin Mars rovers, Spirit and Opportunity, land successfully on Mars, conducting scientific exploration of the planet's surface.",2004-01-04,
New Horizons mission to Pluto,"NASA's New Horizons spacecraft successfully completes a flyby of Pluto, providing detailed images and data about the distant dwarf planet.",2015-07-14,
Crewed missions to the International Space Station,"Ongoing crewed missions to the International Space Station (ISS) continue, with astronauts from multiple countries participating in scientific research and space exploration.",2000-11-02,
Launch of SpaceX's Falcon Heavy,"SpaceX's Falcon Heavy rocket is successfully launched, becoming the most powerful operational rocket in the world.",2018-02-06,
Artemis program announced,"NASA announces the Artemis program, aiming to return humans to the Moon by 2024 and establish sustainable lunar exploration.",2019-05-13,
Perseverance rover lands on Mars,"NASA's Perseverance rover successfully lands on Mars, embarking on a mission to search for signs of ancient microbial life and collect samples for future return to Earth.",2021-02-18,
Upcoming James Webb Space Telescope launch,"The James Webb Space Telescope (JWST), a powerful successor to the Hubble Space Telescope, is scheduled for launch to observe the universe in infrared wavelengths.",2021-12-18,
Future manned missions to Mars,"Plans and initiatives continue to be developed for future manned missions to Mars, with the goal of further exploring and potentially colonizing the Red Planet.",2030,
