name,description,startDate,endDate
Visigothic Kingdom,The Visigothic Kingdom emerges in Spain after the fall of the Western Roman Empire.,418,711
Muslim Conquest,Muslim armies invade and conquer Spain.,711,1492
Reconquista,The Christian kingdoms gradually recapture territory from Muslim rule.,718,1492
Alhambra Decree,"Spanish monarchs issue the Alhambra Decree, expelling Jews from Spain.",1492,1502
Spanish Empire,Spain becomes a leading global power with vast colonial holdings.,1492,1898
Spanish Golden Age,"Spain experiences a cultural flourishing in art, literature, and exploration.",1550,1650
Peninsular War,Spain fights against French occupation during the Napoleonic era.,1808,1814
Spanish Civil War,A brutal conflict between Republicans and Nationalists that leads to the rise of Francisco Franco.,1936,1939
Francisco Franco Dictatorship,General Franco rules Spain as a dictator until his death.,1939,1975
Spanish Transition to Democracy,Spain transitions from Franco's dictatorship to a constitutional monarchy.,1975,1982
