question,options,answer
During which time period did Peru become part of the Viceroyalty of Peru?,"['1438-1533', '1542-1824', '1821-2021', '1880-1914']",1542-1824
Which event marked the changing political landscape in Peru?,"['Rubber Boom', 'Ancient Civilizations', 'Recent Elections', 'Peruvian Agrarian Reform']",Recent Elections
When did Peru gain independence from Spain and become a republic?,"['1438', '1821', '1845', '1980']",1821
"Which event led to the establishment of the Inca Empire, the largest empire in pre-Columbian America?","['Spanish Conquest', 'Inca Empire', 'Peruvian-Bolivian Confederation', 'Presidential Crisis']",Inca Empire
When did the rubber extraction in the Amazon region bring wealth and exploitation to Peru?,"['2000', '1839', '1438', '1880-1914']",1880-1914
Which event saw Peru and Bolivia forming a confederation?,"['Guano Era', 'Peruvian-Bolivian Confederation', 'War of the Pacific', 'COVID-19 Pandemic']",Peruvian-Bolivian Confederation
When did Peru fight against Chile and lose significant territory?,"['1821', '1836-1839', '1879-1884', '1969-1975']",1879-1884
Which time period was Peru home to various ancient civilizations?,"['Inca Empire', 'Ancient Civilizations', 'Shining Path Insurgency', 'Peruvian Economic Boom']",Ancient Civilizations
When did President Juan Velasco Alvarado implement a series of agrarian reforms in Peru?,"['1438-1533', '2020', '1969-1975', '2018-2021']",1969-1975
Which event caused political and social turmoil in Peru?,"['War of the Pacific', 'Shining Path Insurgency', 'Spanish Conquest', 'Peruvian Independence']",Shining Path Insurgency
