question,options,answer
When was Gran Colombia formed?,"['1819', '1831', '1538', '1964']",1819
What countries were included in Gran Colombia?,"['Colombia, Ecuador, Panama, and Venezuela', 'Mexico, Guatemala, El Salvador, and Costa Rica', 'Argentina, Brazil, Paraguay, and Uruguay', 'Peru, Bolivia, Chile, and Ecuador']","Colombia, Ecuador, Panama, and Venezuela"
Who was the president of Gran Colombia?,"['Simón Bolívar', 'Gonzalo Jiménez de Quesada', 'Iván Duque', 'Juan Manuel Santos']",Simón Bolívar
When was the Revolutionary Armed Forces of Colombia (FARC) founded?,"['1964', '1819', '1538', '1948']",1964
What does FARC stand for?,"['The Revolutionary Armed Forces of Colombia', 'The Revolutionary Army of Colombia', 'The Revolutionary Army for Social Change', 'The Revolutionary Armed Forces for Communism']",The Revolutionary Armed Forces of Colombia
"Which era saw the flourishing of indigenous civilizations like the Muisca, Tayrona, and Quimbaya?","['Pre-Columbian Era', 'Spanish Conquest', 'La Violencia', ""The Thousand Days' War""]",Pre-Columbian Era
Who founded the city of Santa Fe de Bogotá?,"['Gonzalo Jiménez de Quesada', 'Simón Bolívar', 'Iván Duque', 'Juan Manuel Santos']",Gonzalo Jiménez de Quesada
When was the peace agreement signed between the Colombian government and FARC?,"['2016', '1819', '1948', '1538']",2016
When did Colombia declare independence from Spain?,"['1810', '1831', '1538', '1964']",1810
Who was the 60th President of Colombia?,"['Iván Duque', 'Simón Bolívar', 'Gonzalo Jiménez de Quesada', 'Juan Manuel Santos']",Iván Duque
What period saw a decade of political violence and unrest in Colombia?,"['La Violencia', 'Pre-Columbian Era', 'Spanish Conquest', ""The Thousand Days' War""]",La Violencia
When did the civil war known as The Thousand Days' War take place?,"['1899-1902', '1538', '1948', '2016']",1899-1902
What is Colombia currently working towards?,"['Peace, economic growth, and social development', 'More political unrest', 'Spanish colonization', 'The end of the armed conflict']","Peace, economic growth, and social development"
