name,description,startDate,endDate
Birth of Napoleon Bonaparte,"Napoleon Bonaparte is born in Corsica, to father Carlo Buonaparte and mother Letizia Ramolino.",1769-08-15,
Napoleon attends military school in Brienne-le-Château,Napoleon begins his preparatory education at the College of Autun before moving to the Military School in Brienne-le-Château.,1779,1784
"Napoleon enrolls in École Militaire, Paris",Napoleon enrolls at École Militaire in Paris for a year of advanced training.,1784,1785
Debut as an officer,Napoleon starts his military career as a second lieutenant in an artillery regiment.,1785,
French Revolution begins,"French Revolution begins. Napoleon aligns himself with the Jacobins, a revolutionary political club.",1789,
Siege of Toulon,"Napoleon, now captain, helps to capture the city of Toulon from the British, which earns him a rank of Brigadier General.",1793,
Imprisonment,Napoleon is arrested and briefly imprisoned due to his association with the Robespierre brothers.,1794,
Marriage to Josephine,Napoleon marries Josephine de Beauharnais and they form a political and personal partnership.,1796-03-09,
Italian Campaign,"Napoleon conducts a successful campaign in Italy, earning him fame and a reputation as a military genius.",1796,1797
French Invasion of Egypt,Napoleon launches an expedition to Egypt to undermine Britain's access to India.,1798,1799
Coup of 18 Brumaire,"Napoleon orchestrates the coup, effectively ending the French Revolution and setting himself up as a dictator.",1799-11-09,
Napoleon as First Consul,"Napoleon becomes First Consul of France, making him the country's de facto leader.",1799,
Napoleon becomes Life Consul,"After a questionable plebiscite, Napoleon's rule as Life Consul is ratified, giving him absolute power for life.",1802,
Sale of Louisiana,Napoleon sells the Louisiana territory to the United States of America.,1803-04-30,
Coronation of Napoleon,"Napoleon crowns himself Emperor, solidifying his rule.",1804-12-02,
Battle of Austerlitz,One of Napoleon's greatest victories where he defeats a Russo-Austrian army.,1805-12-02,
Peninsular War,"In an attempt to enforce the Continental System, Napoleon invades Portugal, initiating the Peninsular War.",1808,1814
Napoleon divorces Josephine,Napoleon divorces Josephine due to her inability to bear him an heir.,1810-01-10,
Marriage to Marie Louise,"Napoleon marries Austrian princess Marie Louise, ensuring a powerful alliance and an heir to his empire.",1810-04-01,
"Birth of Napoleon's Heir, Napoleón François","Napoleon's son, Napoleón François, is born, securing an heir to his empire.",1811-03-20,
Invasion of Russia,"Napoleon mounts an ill-fated invasion of Russia, a disastrous endeavor that significantly weakens his hold on power.",1812,
Battle of Leipzig,Napoleon is defeated at this major battle and is forced to retreat to France.,1813,
First Exile,"After being forced to abdicate, Napoleon is exiled to the island of Elba.",1814-05-04,
Escape from Elba and the Hundred Days,"Napoleon returns to France, regains power, reigns for Hundred Days before being defeated at Waterloo.",1815-03-20,1815-06-22
Waterloo,Napoleon's attempt to secure his rule ends in defeat at the Battle of Waterloo.,1815-06-18,
Second Exile,"After Waterloo, Napoleon is exiled to the remote island of Saint Helena in the South Atlantic Ocean.",1815-10-16,
Death of Napoleon Bonaparte,"Napoleon breeds his last in exile on Saint Helena. The cause of death is officially stated as stomach cancer, but some speculate about possible poisoning.",1821-05-05,
