question,options,answer
In what year was Rio de Janeiro officially founded?,"['1565-03-01', '1555', '1889-11-15', '1808']",1565-03-01
Which event led to Rio de Janeiro becoming the capital of the Portuguese Empire?,"['Covid-19 Pandemic', 'Transfer of the Portuguese Court', 'Independence of Brazil', 'Invasion of Rio de Janeiro']",Transfer of the Portuguese Court
When did the Brazilian monarchy get abolished and the republic get proclaimed in Rio de Janeiro?,"['1808', '1565-03-01', '2020', '1889-11-15']",1889-11-15
When did the construction of the iconic Christ the Redeemer statue in Rio de Janeiro begin?,"['1931', '1555', '1822-09-07', '1922']",1922
Which event established Rio de Janeiro as the host city for the 2016 Summer Olympic Games?,"['Carnival becomes an Official Event', 'Proclamation of the Republic', 'Rio de Janeiro awarded Olympic Games', 'Opening Ceremony of the Olympic Games']",Rio de Janeiro awarded Olympic Games
Which event's description includes the phrase 'flees Napoleon's invasion of Portugal'?,"['Covid-19 Pandemic', 'Transfer of the Portuguese Court', 'Construction of Christ the Redeemer', 'Independence of Brazil']",Transfer of the Portuguese Court
When did the invasion and capture of Rio de Janeiro by French corsairs occur?,"['2020', '1565-03-01', '1555', '1808']",1555
When was the first official carnival parade held at Marquês de Sapucaí Sambadrome?,"['1822-09-07', '1984', '1889-11-15', '1565-03-01']",1984
What major event led to the cancellation or postponement of several events and restrictions on public gatherings in Rio de Janeiro?,"['Independence of Brazil', 'Construction of Christ the Redeemer', 'Covid-19 Pandemic', 'Rio de Janeiro awarded Olympic Games']",Covid-19 Pandemic
When did Brazil declare its independence from Portugal?,"['1922', '1822-09-07', '1565-03-01', '1808']",1822-09-07
