name,description,startDate,endDate
Birth of Henry VI,"Henry VI is born in Windsor Castle, England.",1421-12-06,
Coronation of Henry VI,Henry VI is crowned King of England at Westminster Abbey.,1429-11-06,
Marriage of Henry VI,Henry VI marries Margaret of Anjou at Titchfield Abbey.,1445-04-22,
Beginning of the Wars of the Roses,"The Wars of the Roses begin, a series of civil wars between the Houses of Lancaster and York.",1455,
Battle of Wakefield,"The forces of Richard, Duke of York are defeated by the Lancastrians. Richard is killed in battle.",1460-12-30,
Battle of Towton,"The largest and bloodiest battle of the Wars of the Roses takes place. The Yorkists defeat the Lancastrians, and Henry VI is deposed.",1461-03-29,
Readeption of Henry VI,Henry VI is briefly restored to the throne after the Battle of Edgecote Moor.,1470-07-26,1471-04-11
Capture and Imprisonment of Henry VI,Henry VI is captured in the aftermath of the Battle of Tewkesbury and imprisoned in the Tower of London.,1471-05-04,
Death of Henry VI,Henry VI dies while still imprisoned in the Tower of London.,1471-05-21,
Burial of Henry VI,"Henry VI is buried at Chertsey Abbey, Surrey.",1471-05-22,
