name,description,startDate,endDate
Star Trek: The Original Series,The first Star Trek television series featuring the crew of the USS Enterprise.,1966-09-08,1969-06-03
Star Trek: The Motion Picture,"The first Star Trek film released in theaters, continuing the adventures of the USS Enterprise.",1979-12-07,
Star Trek II: The Wrath of Khan,A highly regarded Star Trek film featuring the return of the villain Khan Noonien Singh.,1982-06-04,
Star Trek: The Next Generation,The second Star Trek television series set approximately 100 years after the original series.,1987-09-28,1994-05-23
Star Trek: Deep Space Nine,The third Star Trek television series set on a space station near a newly discovered stable wormhole.,1993-01-03,1999-06-02
Star Trek: Voyager,The fourth Star Trek television series featuring the adventures of the USS Voyager stranded in the Delta Quadrant.,1995-01-16,2001-05-23
Star Trek: Enterprise,"The fifth Star Trek television series set before the original series, showcasing the early days of human space exploration.",2001-09-26,2005-05-13
Star Trek (2009),"A reboot of the Star Trek film franchise, featuring a new cast portraying the original series characters in an alternate timeline.",2009-05-08,
Star Trek: Discovery,The sixth Star Trek television series set approximately a decade before the events of the original series.,2017-09-24,
Star Trek: Picard,"A Star Trek television series featuring the return of Captain Jean-Luc Picard, set two decades after the events of Star Trek: Nemesis.",2020-01-23,
