question,options,answer
When was Napoleon born?,"['1769-08-12', '1769-08-14', '1769-08-16', '1769-08-15']",1769-08-15
Where did Napoleon receive his military education?,"['Paris', 'Versailles', 'Brienne-le-Château', 'Toulon']",Brienne-le-Château
What event marked a period of radical social and political change in France?,"['The French Revolution', 'The Napoleonic Code', 'The Peninsular War', 'The Battle of Austerlitz']",The French Revolution
In which year did Napoleon successfully lead the Siege of Toulon?,"['1789', '1793', '1796', '1804']",1793
What did Napoleon establish through his Italian Campaign?,"['French control over Northern Italy', 'French control over Southern Italy', 'French control over all of Italy', 'French control over Portugal']",French control over Northern Italy
What was the aim of Napoleon’s Egyptian Campaign?,"['To establish British trade interests in Egypt', 'To gain recognition as a military strategist', 'To establish French presence in the region', 'To establish Spanish presence in the region']",To establish French presence in the region
When did Napoleon overthrow the Directory?,"['1779', '1796', '1798', '1799']",1799
What did Napoleon introduce in 1804?,"['The Napoleonic Code', 'The Peninsular War', 'The Battle of Austerlitz', 'The French Revolution']",The Napoleonic Code
Where was Napoleon crowned Emperor of the French?,"['Louvre Museum', 'Versailles Palace', 'Notre-Dame Cathedral', 'Eiffel Tower']",Notre-Dame Cathedral
In which year did Napoleon achieve a decisive victory against Austria and Russia?,"['1793', '1805', '1807', '1813']",1805
What was the purpose of the Continental System imposed by Napoleon?,"['To strengthen the British economy', 'To weaken the British economy', 'To strengthen the French economy', 'To weaken the French economy']",To weaken the British economy
Which war began in 1807 with Napoleon’s invasion of Spain and Portugal?,"['The French Revolution', 'The Peninsular War', 'The Battle of Austerlitz', 'The Napoleonic Code']",The Peninsular War
Which military campaign led to a disastrous campaign with heavy losses?,"['The Egyptian Campaign', 'The Invasion of Russia', 'The Battle of Waterloo', 'The Siege of Toulon']",The Invasion of Russia
In which battle did Napoleon suffer a defeat against the Sixth Coalition?,"['The Battle of Leipzig', 'The Battle of Austerlitz', 'The Battle of Waterloo', 'The Battle of Toulon']",The Battle of Leipzig
When did Napoleon first abdicate the throne?,"['1789', '1799', '1804', '1814']",1814
When did Napoleon briefly regain power during the Hundred Days?,"['1805', '1807', '1812', '1815']",1815
In which battle was Napoleon defeated by the Seventh Coalition?,"['The Battle of Austerlitz', 'The Battle of Leipzig', 'The Battle of Waterloo', 'The Battle of Toulon']",The Battle of Waterloo
To which island was Napoleon exiled after his final abdication?,"['Elba', 'Corsica', 'Sardinia', 'Saint Helena']",Elba
When did Napoleon die?,"['1821-05-01', '1821-05-03', '1821-05-05', '1821-05-07']",1821-05-05
