name,description,startDate,endDate
Independence of Bolivia,"After a series of revolutions and wars against Spanish occupation, Bolivia declared independence from Spain.",1825,
War of the Pacific,A conflict between Chile and the joint forces of Bolivia and Peru. Bolivia lost its access to the Pacific Ocean in this war,1879,1884
Chaco War,Between Bolivia and Paraguay over control of the northern part of the Gran Chaco region.,1932,1935
Bolivian National Revolution,"The period of profound social, economic, and political changes, including universal suffrage, education and agrarian reform, and the nationalization of tin mines.",1952,1959
Banzer Dictatorship,"Hugo Banzer, supported by the US, led a successful coup d'etat and ruled as dictator until 1978, known for its harsh authoritarian rule and violations of human rights.",1971,1978
Democratic Transition,"Bolivia transitioned from authoritarian military rule to democracy, culminating in the election of Hernán Siles Zuazo as president.",1982,
Gas War,"A civil conflict sparked by plans to export natural gas, which was widely opposed due to concerns about sovereignty and economic exploitation.",2003,
Election of Evo Morales,"Evo Morales, the country's first indigenous president, was elected, marking a significant moment in the recognition of indigenous rights and culture.",2006,
Bolivia becomes a Plurinational State,"A new constitution was established, declaring the country a Plurinational State and recognizing the rights of its indigenous peoples.",2009,
Transition to Post-Evo Morales era,"Instability and change following Evo Morales' forced resignation and subsequent exile, leading to a 2020 election and hopes for political stability.",2019,2020
