question,options,answer
Who invented basketball?,"['Dr. James Naismith', 'Wilt Chamberlain', 'Michael Jordan', 'Kobe Bryant']",Dr. James Naismith
Where was the first official game of basketball played?,"['Springfield, Massachusetts', 'New York City, New York', 'Los Angeles, California', 'Chicago, Illinois']","Springfield, Massachusetts"
When was the National Basketball League (NBL) formed?,"['1891', '1937', '1949', '1967']",1937
When was the NBA formed?,"['1891', '1937', '1949', '1967']",1949
In which year did Wilt Chamberlain score 100 points in a single game?,"['1891', '1937', '1962', '2000']",1962
When was the three-point line introduced?,"['1891', '1937', '1967', '1980']",1967
Which team won the first NBA Championship?,"['Los Angeles Lakers', 'Boston Celtics', 'Chicago Bulls', 'Golden State Warriors']",Boston Celtics
When did Magic Johnson and Larry Bird have a highly publicized rivalry?,"['1891', '1937', '1980', '1993']",1980
In which year did Michael Jordan announce his first retirement from basketball?,"['1962', '1980', '1993', '2003']",1993
Which basketball team won the gold medal at the 1992 Barcelona Olympics?,"['Toronto Raptors', 'Los Angeles Lakers', 'Chicago Bulls', 'Dream Team']",Dream Team
