question,options,answer
Which civilization is credited with the earliest recorded evidence of clothing in history?,"['Ancient Mesopotamia', 'Ancient Egypt', 'Minoan Civilization', 'Ancient Greece']",Ancient Mesopotamia
Which era saw the development of advanced textile production techniques?,"['Ancient Mesopotamia', 'Ancient Egypt', 'Minoan Civilization', 'Ancient Greece']",Ancient Egypt
Which civilization has early evidence of sewn garments and tailored clothing?,"['Ancient Mesopotamia', 'Ancient Egypt', 'Minoan Civilization', 'Ancient Greece']",Minoan Civilization
"Which civilization introduced the chiton, a loose garment worn by both men and women?","['Ancient Mesopotamia', 'Ancient Egypt', 'Minoan Civilization', 'Ancient Greece']",Ancient Greece
Which civilization made the toga a key fashion item in their society?,"['Ancient Mesopotamia', 'Ancient Egypt', 'Minoan Civilization', 'Ancient Rome']",Ancient Rome
Which era saw the rise of fashion trends among the nobility?,"['Ancient Rome', 'Medieval Europe', 'Renaissance', 'Baroque Period']",Medieval Europe
Which era developed sumptuary laws to regulate clothing based on social status?,"['Renaissance', 'Baroque Period', '18th Century', 'Victorian Era']",Renaissance
Which era was dominated by extravagant and elaborate clothing styles?,"['Baroque Period', '18th Century', 'Victorian Era', 'Art Deco']",Baroque Period
Which era saw the transition from elaborate Baroque fashion to simple and elegant Rococo styles?,"['18th Century', 'Victorian Era', 'Art Deco', 'Great Depression']",18th Century
"Which era is known for corsets, bustles, and hoop skirts?","['Victorian Era', 'Art Deco', 'Great Depression', 'World War II']",Victorian Era
