name,description,startDate,endDate
The Phantom Menace,The trade dispute between the Trade Federation and the planet of Naboo leads to the invasion of Naboo by droid armies. Jedi knights Qui-Gon Jinn and Obi-Wan Kenobi discover the Sith Lord Darth Maul.,32-19 BBY,32-19 BBY
Attack of the Clones,A separatist movement led by Count Dooku threatens the Republic. An assassination attempt on Senator Padmé Amidala brings Anakin Skywalker and Padmé together. An army of clones is created.,22 BBY,22 BBY
The Clone Wars,The galaxy is thrown into chaos as the Clone Wars begin. Jedi knights lead the Republic's forces against the Separatist droid armies. Anakin Skywalker becomes a war hero and forms a close bond with his clone trooper Captain Rex.,22 BBY,19 BBY
Revenge of the Sith,Anakin Skywalker turns to the dark side of the Force and becomes Darth Vader. The Jedi Order is betrayed and massacred by Vader and the clone troopers. The Republic falls and the Galactic Empire rises.,19 BBY,19 BBY
The Rise of the Rebellion,A Rebel Alliance forms to oppose the oppressive rule of the Galactic Empire. Senator Bail Organa helps to lead the Rebellion. Princess Leia Organa becomes a key figure in the Rebel Alliance.,19 BBY,0 BBY
A New Hope,"The Rebellion discovers the plans for the Death Star, a massive weapon built by the Empire. Luke Skywalker, Han Solo, and Princess Leia lead the Rebellion in a daring mission to destroy the Death Star.",0 BBY,0 BBY
The Empire Strikes Back,"The Empire launches a counterattack against the Rebellion. Luke Skywalker trains with Jedi Master Yoda, while Han Solo is captured by Darth Vader. The revelation of Vader being Luke's father shocks both Luke and the audience.",3 ABY,3 ABY
Return of the Jedi,The Rebellion launches a final assault on the Empire. Luke Skywalker confronts and redeems Darth Vader. The Emperor is defeated and the Empire falls. The galaxy celebrates the end of the Empire's rule.,4 ABY,4 ABY
The New Republic,The Rebel Alliance transitions into the New Republic. Leia Organa becomes a senator in the New Republic. Luke Skywalker attempts to rebuild the Jedi Order.,5 ABY,28 ABY
The Force Awakens,"A new threat known as the First Order emerges, led by Supreme Leader Snoke and his apprentice Kylo Ren. The Resistance, led by General Leia Organa, opposes the First Order. Rey discovers her force sensitivity.",34 ABY,34 ABY
The Last Jedi,The Resistance faces a relentless assault from the First Order. Luke Skywalker trains Rey in the ways of the Jedi. Kylo Ren struggles with his conflicting loyalties. The Resistance narrowly escapes annihilation.,34 ABY,34 ABY
The Rise of Skywalker,"The final battle between the Resistance and the First Order. Rey confronts Emperor Palpatine and embraces her true identity as a Palpatine. The Sith are defeated, and the galaxy finds hope once more.",35 ABY,35 ABY
The Mandalorian,"Set after the fall of the Empire, a lone bounty hunter known as The Mandalorian is hired to retrieve a mysterious child who is believed to be Force-sensitive. The Mandalorian forms a bond with the child and protects it from various threats.",9 ABY,9 ABY
