name,description,startDate,endDate
Space Race Begins,Competition between the Soviet Union and the United States to explore outer space.,1955,
Launch of Sputnik 1,"The Soviet Union successfully launches the world's first artificial satellite, initiating the Space Age.",1957-10-04,
Launch of Explorer 1,The United States successfully launches its first satellite in response to the Sputnik launch.,1958-01-31,
Yuri Gagarin becomes the First Human in Space,"Soviet cosmonaut Yuri Gagarin completes one orbit around the Earth aboard Vostok 1, becoming the first human in space.",1961-04-12,
Alan Shepard becomes the First American in Space,"American astronaut Alan Shepard completes a suborbital spaceflight aboard Freedom 7, becoming the first American in space.",1961-05-05,
John F. Kennedy's Moon Speech,President John F. Kennedy delivers a speech committing the United States to landing a man on the Moon before the end of the decade.,1961-05-25,
Valentina Tereshkova becomes the First Woman in Space,Soviet cosmonaut Valentina Tereshkova becomes the first woman to travel to space aboard Vostok 6.,1963-06-16,
Launch of Voskhod 1,"The Soviet Union launches the Voskhod 1 spacecraft, carrying a crew of three and becoming the first mission to have multiple astronauts on board.",1964-10-12,1964-10-13
Gemini 3: First Manned Gemini Mission,"NASA's Gemini 3 spacecraft, piloted by Gus Grissom and John Young, performs three orbits of the Earth.",1965-03-23,
Launch of Soyuz 1,"The Soviet Union launches Soyuz 1 with cosmonaut Vladimir Komarov aboard, but the mission ends in tragedy with Komarov's death during re-entry.",1967-04-23,1967-04-24
Apollo 8: First Manned Mission to the Moon,"NASA's Apollo 8 mission, commanded by Frank Borman, becomes the first manned spacecraft to orbit the Moon.",1968-12-21,1968-12-27
Apollo 11: First Moon Landing,"NASA's Apollo 11 mission, commanded by Neil Armstrong, successfully lands the first humans on the Moon.",1969-07-20,
Launch of Salyut 1,"The Soviet Union launches Salyut 1, the world's first space station.",1971-04-19,
Apollo-Soyuz Test Project,"The United States and the Soviet Union conduct a joint space mission, docking an Apollo spacecraft with a Soyuz spacecraft in orbit.",1975-07-15,1975-07-24
Voyager 1 Launch,"NASA's Voyager 1 spacecraft is launched, later becoming the first human-made object to reach interstellar space.",1977-09-05,
Launch of Space Shuttle Columbia,"NASA's Space Shuttle Columbia becomes the first operational space shuttle, beginning the era of reusable spacecraft.",1981-04-12,
Mir Space Station Launch,"Soviet Union launches Mir, a modular space station that becomes the focus of long-duration human spaceflight for over a decade.",1986-02-20,
Hubble Space Telescope Launch,"NASA's Hubble Space Telescope is launched, revolutionizing our understanding of the universe.",1990-04-24,
International Space Station (ISS) Begins Assembly,Construction of the International Space Station begins with the launch of the Russian Zarya module.,1998-11-20,
SpaceShipOne's First Spaceflight,"SpaceShipOne, a privately-funded spacecraft, becomes the first non-governmental crewed vehicle to reach space.",2004-06-21,
New Horizons' Pluto Flyby,"NASA's New Horizons spacecraft conducts a flyby of Pluto, providing the first close-up images of the dwarf planet.",2015-07-14,
Crew Dragon Demo-2: First Crewed SpaceX Mission,"NASA's Crew Dragon spacecraft, developed by SpaceX, launches astronauts Bob Behnken and Doug Hurley to the International Space Station.",2020-05-30,
Artemis Program: NASA's Return to the Moon,"NASA announces the Artemis program, aiming to land the first woman and the next man on the Moon by 2024.",2019-03-27,
Perseverance Rover Landing on Mars,NASA's Perseverance rover successfully lands on Mars to search for signs of ancient microbial life and collect samples for return to Earth.,2021-02-18,
