question,options,answer
When was the New Zealand Rugby Football Union (NZRFU) formed?,"['1892', '1823', '1889', '1996']",1892
When was rugby football said to have been created?,"['1892', '1823', '1889', '1996']",1823
When was the South African Rugby Union (SARU) formed?,"['1892', '1823', '1889', '1996']",1889
When was the Rugby Championship introduced?,"['1892', '1823', '1889', '1996']",1996
When was rugby league introduced in Australia?,"['1892', '1908', '1889', '1996']",1908
When was the World Rugby Sevens Series formed?,"['1892', '1823', '1999', '1996']",1999
When was the Five Nations Championship introduced?,"['1883', '1823', '1889', '1996']",1883
When were the British and Irish Lions introduced?,"['1892', '1823', '1888', '1996']",1888
When was the Irish Rugby Football Union (IRFU) formed?,"['1892', '1823', '1889', '1879']",1879
When was the first Rugby World Cup held?,"['1892', '1823', '1889', '1987']",1987
