name,description,startDate
Birth,Sigourney Weaver is born,1949-10-08
Education,Sigourney Weaver attends the Ethel Walker School,1961
College,Sigourney Weaver graduates from Stanford University,1972
Broadway Debut,Sigourney Weaver makes her Broadway debut in 'The Constant Wife',1975
Film Debut,Sigourney Weaver makes her film debut in 'Annie Hall',1977
Breakthrough Role,Sigourney Weaver stars as Ellen Ripley in 'Alien',1979
Academy Award Nomination,Sigourney Weaver is nominated for an Academy Award for Best Actress for her role in 'Aliens',1987
Marriage,Sigourney Weaver marries Jim Simpson,1984
Birth of Daughter,"Sigourney Weaver and Jim Simpson welcome their daughter, Charlotte Simpson",1990
Sequel Success,Sigourney Weaver reprised her role as Ellen Ripley in 'Aliens 3',1992
Cultural Icon,Sigourney Weaver becomes a cultural icon for her portrayal of Ellen Ripley,1997
Political Drama,Sigourney Weaver stars in 'The Ice Storm',1997
Action Comedy,Sigourney Weaver stars in 'Galaxy Quest',1999
Exploring Space,Sigourney Weaver stars in James Cameron's 'Avatar',2009
Environmental Activism,Sigourney Weaver becomes an advocate for environmental causes,2010
Television Series,Sigourney Weaver stars in the miniseries 'Political Animals',2012
Broadway Success,Sigourney Weaver stars in 'Vanya and Sonia and Masha and Spike',2013
Golden Globe Nomination,Sigourney Weaver is nominated for a Golden Globe for her role in 'Alien: Resurrection',1998
Tony Award Nomination,Sigourney Weaver is nominated for a Tony Award for her role in 'Hurlyburly',1985
Women's Rights Advocate,Sigourney Weaver becomes an advocate for women's rights,2014
Sci-Fi Franchise,Sigourney Weaver stars in 'Chappie',2015
Supporting Role,Sigourney Weaver stars in 'A Monster Calls',2016
Sci-Fi Collaboration,Sigourney Weaver stars in 'Alien: Covenant',2017
Broadway Return,Sigourney Weaver stars in 'The Lifespan of a Fact',2018
Critically Acclaimed Television Series,Sigourney Weaver stars in 'Unbelievable',2019
Environmental Documentary,Sigourney Weaver narrates the documentary 'The Eagle Huntress',2016
Recognition,Sigourney Weaver receives the Donostia Award at the San Sebastián International Film Festival,2016
Continuing Success,Sigourney Weaver continues to act in various film and television projects,2020
Iconic Legacy,Sigourney Weaver's contributions to film and culture are celebrated,2025
Lifetime Achievement Award,Sigourney Weaver receives a lifetime achievement award in recognition of her illustrious career,2030
