name,description,startDate,endDate
First recorded historical mention of a football-like game,"An ancient Chinese text mentions a game called 'cuju', which resembles modern football.",-3000,
Ancient Rome,A game known as 'Harpastum' is played during the Roman Empire. It involves kicking a ball and is reminiscent of modern football.,100,
Medieval football,"The game of 'mob football' is played in Medieval Europe, involving large numbers of players and rudimentary ball.",1100,1600
Codification of football rules,"The Laws of the Game are officially codified in England, marking the beginning of organized football.",1863,
Formation of the English Football Association (FA),"The FA is founded in England, becoming the world's first official governing body for football.",1863,
First international football match,England and Scotland play the first recognized international football match.,1872,
Introduction of the penalty kick,The penalty kick is introduced to the Laws of the Game.,1891,
Formation of FIFA,The Fédération Internationale de Football Association (FIFA) is established as the governing body for international football.,1904,
First FIFA World Cup,"The inaugural FIFA World Cup takes place in Uruguay, with 13 teams participating.",1930,
Introduction of floodlights,"Floodlights are used for the first time in a football match, allowing games to be played at night.",1957,
First UEFA European Championship,"The UEFA European Championship, known as the Euro, is launched.",1960,
Introduction of the yellow card,The yellow card is introduced to caution players for minor offenses.,1970,
Introduction of the red card,The red card is introduced to send off players for serious offenses or accumulating too many yellow cards.,1970,
Creation of the Premier League,The FA Premier League is formed as the top professional football league in England.,1992,
Introduction of VAR (Video Assistant Referee),VAR is implemented to assist referees in making accurate decisions.,2016,
"Hosted by Russia, the 2018 FIFA World Cup",The 21st FIFA World Cup takes place in Russia.,2018,
Development of the women's football,Women's football gains increased popularity and recognition worldwide.,1990,
"Hosted by France, the 2019 FIFA Women's World Cup",The 8th FIFA Women's World Cup is held in France.,2019,
Introduction of the VAR in UEFA competitions,"UEFA introduces VAR for all major competitions, including the UEFA Champions League.",2019,
"Postponed due to COVID-19, Hosted by Japan, the Tokyo 2020 Summer Olympics","The 2020 Summer Olympics, including football competitions, are postponed to 2021 due to the COVID-19 pandemic.",2021,
"Development of women's football, 21st-century","Women's football continues to grow globally, with increased access and investment.",2000,
