name,description,startDate
Invention of Basketball,"Basketball is invented by Dr. James Naismith in Springfield, Massachusetts",1891-12
First Basketball Game,"The first official game of basketball is played at the International YMCA Training School in Springfield, Massachusetts",1891-12-21
First Professional Basketball League,The National Basketball League (NBL) is formed in the United States,1937
Formation of the NBA,The National Basketball Association (NBA) is formed as a merger between the NBL and the Basketball Association of America (BAA),1949
Wilt Chamberlain's 100-point Game,Wilt Chamberlain scores an incredible 100 points in a single game for the Philadelphia Warriors,1962-03-02
Introduction of the Three-Point Line,The American Basketball Association (ABA) introduces the three-point line,1967
First NBA Championship,The Boston Celtics win the first NBA Championship,1957
Magic Johnson vs. Larry Bird Rivalry,Magic Johnson and Larry Bird have a highly publicized rivalry throughout the 1980s,1980
Michael Jordan's First Retirement,Michael Jordan announces his retirement from basketball to pursue a career in baseball,1993
Dream Team Dominates Olympics,"The United States' basketball team, known as the 'Dream Team', wins the gold medal at the Barcelona Olympics",1992-08
Shaquille O'Neal and Kobe Bryant Dynasty,Shaquille O'Neal and Kobe Bryant lead the Los Angeles Lakers to three consecutive NBA championships,2000
LeBron James' NBA Debut,LeBron James makes his debut in the NBA for the Cleveland Cavaliers,2003-10-29
Golden State Warriors' Record-Breaking Season,The Golden State Warriors set a new NBA record for the most wins in a regular season with 73 victories,2015-10
Kawhi Leonard Leads Toronto Raptors to NBA Championship,Kawhi Leonard leads the Toronto Raptors to their first NBA Championship in franchise history,2019-06-13
Los Angeles Lakers Win 2020 NBA Championship,The Los Angeles Lakers win the NBA Championship in the bubble environment due to the COVID-19 pandemic,2020-10-11
Development of Slam Dunk,The slam dunk becomes a popular and iconic move in basketball,1940s
Breakthrough of the Jump Shot,The jump shot revolutionizes basketball offense and becomes a key scoring technique,1930s
Michael Jordan's Comeback,Michael Jordan returns to the NBA after his first retirement and leads the Chicago Bulls to three more championships,1995
Allen Iverson's Crossover,Allen Iverson's signature crossover move becomes one of the most iconic moves in NBA history,1997
Kareem Abdul-Jabbar Becomes All-Time Leading Scorer,Kareem Abdul-Jabbar sets the record for the most career points in NBA history,1984
Larry Bird's Legendary 3-Point Contest,"Larry Bird wins the 3-Point Contest by famously declaring, 'I am the best shooter in the world'",1986
Stephen Curry's Revolution of Shooting,Stephen Curry's exceptional shooting skills and long-range accuracy change the way the game is played,2013
Kobe Bryant's 81-Point Game,"Kobe Bryant scores 81 points in a game against the Toronto Raptors, the second-highest single-game total in NBA history",2006-01-22
San Antonio Spurs' Dynasty,The San Antonio Spurs win five NBA championships between 1999 and 2014,1999
Basketball Becomes Olympic Sport,Basketball is included as an official sport in the Olympic Games,1936
Retirement of Kobe Bryant,Kobe Bryant announces his retirement from basketball after a 20-year career with the Los Angeles Lakers,2015
Evolution of Basketball Shoes,"The design of basketball shoes evolves over time to provide better support, traction, and aesthetics",1920s
First Women's National Basketball Tournament,"The first women's national basketball tournament is held at Smith College in Northampton, Massachusetts",1893
Women's Professional Basketball League,The Women's Professional Basketball League (WBL) is established in the United States,1978
Formation of WNBA,The Women's National Basketball Association (WNBA) is formed as the premier professional women's basketball league,1996
UConn Women's Basketball Dominance,"The University of Connecticut women's basketball team dominates the sport, winning numerous NCAA championships",1995
