question,options,answer
Which brothers held the first public screening of a film in Paris?,"['The Lumière brothers', 'The Wright brothers', 'The Coen brothers', 'The Scott brothers']",The Lumière brothers
"In which year was the Indian film industry, also known as Bollywood, established?","['1895', '1905', '1913', '1920']",1913
Where was the Hollywood film industry established?,"['New York City', 'Chicago', 'Los Angeles', 'Miami']",Los Angeles
Which film is often regarded as one of the greatest ever made?,"['Gone with the Wind', 'Citizen Kane', 'Casablanca', 'The Godfather']",Citizen Kane
In which era is known as the Golden Age of Hollywood?,"['1920s', '1930s', '1940s', '1950s']",1930s to 1950s
Which era in American filmmaking is known as the New Hollywood?,"['1950s', '1960s', '1970s', '1980s']",1960s
Which film revolutionized visual effects with its realistic portrayal of dinosaurs?,"['Jurassic Park', 'Avatar', 'Titanic', 'E.T. the Extra-Terrestrial']",Jurassic Park
In which year did the Marvel Cinematic Universe begin with the release of Iron Man?,"['2005', '2007', '2008', '2010']",2008
Which film directed by James Cameron became the highest-grossing film of all time upon its release?,"['Titanic', 'Avatar', 'Inception', 'The Dark Knight']",Avatar
Which film explores the concept of shared dreaming and became a critical and commercial success?,"['Inception', 'Interstellar', 'The Matrix', 'The Prestige']",Inception
